INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -5 1 1 0 2001
1 0 0 0 -4 1 2 1 2001
1 0 0 0 -3 3 9 6 2001
1 0 0 0 -2 7 17 10 2001
1 0 0 0 -1 12 36 24 2001
1 0 0 0 0 1261 2429 1168 2001
1 0 0 1 -4 0 1 1 2001
1 0 0 1 -3 1 2 1 2001
1 0 0 1 -2 1 7 6 2001
1 0 0 1 -1 3 18 15 2001
1 0 0 1 0 282 599 317 2001
1 0 0 10 -3 1 2 1 2001
1 0 0 10 -2 2 11 9 2001
1 0 0 10 -1 6 23 17 2001
1 0 0 10 0 78 204 126 2001
1 0 0 11 -4 0 2 2 2001
1 0 0 11 -3 0 1 1 2001
1 0 0 11 -2 0 6 6 2001
1 0 0 11 -1 2 10 8 2001
1 0 0 11 0 47 115 68 2001
1 0 0 100 -2 1 1 0 2001
1 0 0 100 -1 0 4 4 2001
1 0 0 100 0 9 29 20 2001
1 0 0 101 -3 0 3 3 2001
1 0 0 101 -2 0 5 5 2001
1 0 0 101 -1 6 12 6 2001
1 0 0 101 0 25 63 38 2001
1 0 0 110 -3 0 1 1 2001
1 0 0 110 -2 1 1 0 2001
1 0 0 110 -1 1 5 4 2001
1 0 0 110 0 11 26 15 2001
1 0 0 111 -2 2 5 3 2001
1 0 0 111 -1 3 12 9 2001
1 0 0 111 0 12 34 22 2001
1 0 1 0 -5 1 3 2 2001
1 0 1 0 -4 1 9 8 2001
1 0 1 0 -3 4 24 20 2001
1 0 1 0 -2 24 57 33 2001
1 0 1 0 -1 27 64 37 2001
1 0 1 0 0 932 1690 758 2001
1 0 1 1 -5 1 1 0 2001
1 0 1 1 -4 0 5 5 2001
1 0 1 1 -3 4 12 8 2001
1 0 1 1 -2 15 40 25 2001
1 0 1 1 -1 21 64 43 2001
1 0 1 1 0 323 597 274 2001
1 0 1 10 -5 0 1 1 2001
1 0 1 10 -4 1 5 4 2001
1 0 1 10 -3 0 8 8 2001
1 0 1 10 -2 7 27 20 2001
1 0 1 10 -1 22 63 41 2001
1 0 1 10 0 115 249 134 2001
1 0 1 11 -5 0 2 2 2001
1 0 1 11 -4 0 1 1 2001
1 0 1 11 -3 1 6 5 2001
1 0 1 11 -2 12 27 15 2001
1 0 1 11 -1 15 49 34 2001
1 0 1 11 0 98 200 102 2001
1 0 1 100 -5 0 1 1 2001
1 0 1 100 -4 0 2 2 2001
1 0 1 100 -3 0 2 2 2001
1 0 1 100 -2 2 4 2 2001
1 0 1 100 -1 5 17 12 2001
1 0 1 100 0 40 110 70 2001
1 0 1 101 -4 0 3 3 2001
1 0 1 101 -3 0 2 2 2001
1 0 1 101 -2 4 14 10 2001
1 0 1 101 -1 13 33 20 2001
1 0 1 101 0 32 80 48 2001
1 0 1 110 -4 0 2 2 2001
1 0 1 110 -3 0 2 2 2001
1 0 1 110 -2 8 15 7 2001
1 0 1 110 -1 4 16 12 2001
1 0 1 110 0 38 68 30 2001
1 0 1 111 -4 0 1 1 2001
1 0 1 111 -3 1 4 3 2001
1 0 1 111 -2 5 15 10 2001
1 0 1 111 -1 7 21 14 2001
1 0 1 111 0 26 61 35 2001
1 0 2 0 -6 0 2 2 2001
1 0 2 0 -5 0 6 6 2001
1 0 2 0 -4 1 17 16 2001
1 0 2 0 -3 6 32 26 2001
1 0 2 0 -2 30 71 41 2001
1 0 2 0 -1 58 141 83 2001
1 0 2 0 0 712 1260 548 2001
