INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -5 0 1 1 2012
1 0 0 0 -4 0 6 6 2012
1 0 0 0 -3 1 7 6 2012
1 0 0 0 -2 1 14 13 2012
1 0 0 0 -1 21 59 38 2012
1 0 0 0 0 1090 2430 1340 2012
1 0 0 1 -4 0 2 2 2012
1 0 0 1 -3 0 4 4 2012
1 0 0 1 -2 0 8 8 2012
1 0 0 1 -1 12 33 21 2012
1 0 0 1 0 211 547 336 2012
1 0 0 10 -4 0 1 1 2012
1 0 0 10 -3 0 4 4 2012
1 0 0 10 -2 0 8 8 2012
1 0 0 10 -1 11 23 12 2012
1 0 0 10 0 75 192 117 2012
1 0 0 11 -4 0 2 2 2012
1 0 0 11 -3 0 2 2 2012
1 0 0 11 -2 1 4 3 2012
1 0 0 11 -1 1 17 16 2012
1 0 0 11 0 41 111 70 2012
1 0 0 100 -4 0 1 1 2012
1 0 0 100 -3 0 1 1 2012
1 0 0 100 -2 0 2 2 2012
1 0 0 100 -1 1 2 1 2012
1 0 0 100 0 10 30 20 2012
1 0 0 101 -3 0 2 2 2012
1 0 0 101 -1 5 14 9 2012
1 0 0 101 0 17 41 24 2012
1 0 0 110 -2 0 4 4 2012
1 0 0 110 -1 0 6 6 2012
1 0 0 110 0 6 25 19 2012
1 0 0 111 -5 0 1 1 2012
1 0 0 111 -4 0 2 2 2012
1 0 0 111 -3 0 2 2 2012
1 0 0 111 -2 0 2 2 2012
1 0 0 111 -1 0 4 4 2012
1 0 0 111 0 9 26 17 2012
1 0 1 0 -5 0 5 5 2012
1 0 1 0 -4 2 17 15 2012
1 0 1 0 -3 3 21 18 2012
1 0 1 0 -2 9 48 39 2012
1 0 1 0 -1 27 81 54 2012
1 0 1 0 0 811 1715 904 2012
1 0 1 1 -5 0 3 3 2012
1 0 1 1 -4 0 5 5 2012
1 0 1 1 -3 1 13 12 2012
1 0 1 1 -2 5 18 13 2012
1 0 1 1 -1 19 63 44 2012
1 0 1 1 0 258 630 372 2012
1 0 1 10 -5 0 2 2 2012
1 0 1 10 -4 1 4 3 2012
1 0 1 10 -3 1 8 7 2012
1 0 1 10 -2 7 20 13 2012
1 0 1 10 -1 14 49 35 2012
1 0 1 10 0 106 250 144 2012
1 0 1 11 -5 0 2 2 2012
1 0 1 11 -4 0 2 2 2012
1 0 1 11 -3 0 5 5 2012
1 0 1 11 -2 4 20 16 2012
1 0 1 11 -1 8 43 35 2012
1 0 1 11 0 69 166 97 2012
1 0 1 100 -8 0 1 1 2012
1 0 1 100 -4 1 4 3 2012
1 0 1 100 -3 0 2 2 2012
1 0 1 100 -2 0 8 8 2012
1 0 1 100 -1 5 23 18 2012
1 0 1 100 0 42 102 60 2012
1 0 1 101 -6 0 1 1 2012
1 0 1 101 -4 0 2 2 2012
1 0 1 101 -3 0 3 3 2012
1 0 1 101 -2 2 12 10 2012
1 0 1 101 -1 7 28 21 2012
1 0 1 101 0 21 70 49 2012
1 0 1 110 -3 0 2 2 2012
1 0 1 110 -2 2 5 3 2012
1 0 1 110 -1 3 23 20 2012
1 0 1 110 0 20 51 31 2012
1 0 1 111 -4 1 2 1 2012
1 0 1 111 -3 1 4 3 2012
1 0 1 111 -2 2 7 5 2012
1 0 1 111 -1 4 15 11 2012
1 0 1 111 0 9 41 32 2012
1 0 2 0 -6 0 1 1 2012
1 0 2 0 -5 0 4 4 2012
1 0 2 0 -4 2 24 22 2012
1 0 2 0 -3 6 37 31 2012
1 0 2 0 -2 18 70 52 2012
1 0 2 0 -1 61 149 88 2012
1 0 2 0 0 626 1243 617 2012
1 0 2 1 -7 0 1 1 2012
1 0 2 1 -6 0 1 1 2012
1 0 2 1 -5 0 3 3 2012
1 0 2 1 -4 0 9 9 2012
1 0 2 1 -3 4 25 21 2012
1 0 2 1 -2 10 36 26 2012
1 0 2 1 -1 37 111 74 2012
1 0 2 1 0 254 549 295 2012
1 0 2 10 -7 0 1 1 2012
1 0 2 10 -6 0 1 1 2012
1 0 2 10 -5 0 3 3 2012
1 0 2 10 -4 1 6 5 2012
1 0 2 10 -3 5 13 8 2012
1 0 2 10 -2 10 34 24 2012
1 0 2 10 -1 28 89 61 2012
1 0 2 10 0 125 261 136 2012
1 0 2 11 -8 0 1 1 2012
1 0 2 11 -7 0 1 1 2012
1 0 2 11 -5 0 3 3 2012
