INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -5 0 1 1 1949
1 0 0 0 -4 2 3 1 1949
1 0 0 0 -3 0 1 1 1949
1 0 0 0 -2 3 7 4 1949
1 0 0 0 -1 5 7 2 1949
1 0 0 0 0 467 1012 545 1949
1 0 0 1 -5 0 1 1 1949
1 0 0 1 -4 1 1 0 1949
1 0 0 1 -3 0 1 1 1949
1 0 0 1 -2 1 6 5 1949
1 0 0 1 -1 3 6 3 1949
1 0 0 1 0 133 307 174 1949
1 0 0 10 -4 0 1 1 1949
1 0 0 10 -1 0 6 6 1949
1 0 0 10 0 14 48 34 1949
1 0 0 11 -5 0 1 1 1949
1 0 0 11 -4 0 1 1 1949
1 0 0 11 -2 1 6 5 1949
1 0 0 11 -1 6 12 6 1949
1 0 0 11 0 30 76 46 1949
1 0 0 100 -5 0 1 1 1949
1 0 0 100 -2 0 1 1 1949
1 0 0 100 -1 0 3 3 1949
1 0 0 100 0 8 12 4 1949
1 0 0 101 -5 0 2 2 1949
1 0 0 101 -3 0 2 2 1949
1 0 0 101 -2 1 2 1 1949
1 0 0 101 -1 3 6 3 1949
1 0 0 101 0 5 19 14 1949
1 0 0 110 -4 0 1 1 1949
1 0 0 110 -3 0 1 1 1949
1 0 0 110 -2 0 2 2 1949
1 0 0 110 -1 3 7 4 1949
1 0 0 110 0 1 5 4 1949
1 0 0 111 -3 0 1 1 1949
1 0 0 111 -2 0 2 2 1949
1 0 0 111 -1 0 4 4 1949
1 0 0 111 0 5 17 12 1949
1 0 1 0 -5 1 4 3 1949
1 0 1 0 -4 1 2 1 1949
1 0 1 0 -3 3 9 6 1949
1 0 1 0 -2 5 18 13 1949
1 0 1 0 -1 8 13 5 1949
1 0 1 0 0 322 669 347 1949
1 0 1 1 -6 0 1 1 1949
1 0 1 1 -5 0 1 1 1949
1 0 1 1 -4 0 3 3 1949
1 0 1 1 -3 1 4 3 1949
1 0 1 1 -2 6 20 14 1949
1 0 1 1 -1 8 21 13 1949
1 0 1 1 0 140 316 176 1949
1 0 1 10 -5 0 1 1 1949
1 0 1 10 -4 2 3 1 1949
1 0 1 10 -3 0 7 7 1949
1 0 1 10 -2 2 6 4 1949
1 0 1 10 -1 6 16 10 1949
1 0 1 10 0 42 95 53 1949
1 0 1 11 -5 0 1 1 1949
1 0 1 11 -4 1 3 2 1949
1 0 1 11 -3 0 3 3 1949
1 0 1 11 -2 5 11 6 1949
1 0 1 11 -1 6 20 14 1949
1 0 1 11 0 39 87 48 1949
1 0 1 100 -8 0 1 1 1949
1 0 1 100 -4 0 2 2 1949
1 0 1 100 -2 1 2 1 1949
1 0 1 100 -1 1 11 10 1949
1 0 1 100 0 10 26 16 1949
1 0 1 101 -6 0 1 1 1949
1 0 1 101 -5 0 1 1 1949
1 0 1 101 -3 0 2 2 1949
1 0 1 101 -2 3 8 5 1949
1 0 1 101 -1 4 14 10 1949
1 0 1 101 0 12 38 26 1949
1 0 1 110 -3 0 1 1 1949
1 0 1 110 -2 1 6 5 1949
1 0 1 110 -1 4 9 5 1949
1 0 1 110 0 11 29 18 1949
1 0 1 111 -5 0 1 1 1949
1 0 1 111 -3 1 2 1 1949
1 0 1 111 -2 5 9 4 1949
1 0 1 111 -1 3 9 6 1949
1 0 1 111 0 11 29 18 1949
1 0 2 0 -6 0 2 2 1949
1 0 2 0 -5 1 4 3 1949
1 0 2 0 -4 1 3 2 1949
1 0 2 0 -3 4 13 9 1949
1 0 2 0 -2 5 27 22 1949
1 0 2 0 -1 13 30 17 1949
1 0 2 0 0 240 471 231 1949
1 0 2 1 -9 0 1 1 1949
1 0 2 1 -6 0 1 1 1949
1 0 2 1 -5 0 1 1 1949
1 0 2 1 -4 0 3 3 1949
1 0 2 1 -3 2 12 10 1949
1 0 2 1 -2 7 23 16 1949
1 0 2 1 -1 22 53 31 1949
1 0 2 1 0 139 286 147 1949
1 0 2 10 -8 0 1 1 1949
1 0 2 10 -6 0 1 1 1949
1 0 2 10 -5 1 3 2 1949
1 0 2 10 -4 2 5 3 1949
1 0 2 10 -3 1 6 5 1949
1 0 2 10 -2 6 20 14 1949
1 0 2 10 -1 7 28 21 1949
1 0 2 10 0 51 99 48 1949
1 0 2 11 -6 0 1 1 1949
1 0 2 11 -5 1 1 0 1949
1 0 2 11 -4 3 6 3 1949
1 0 2 11 -3 4 13 9 1949
1 0 2 11 -2 4 14 10 1949
1 0 2 11 -1 19 43 24 1949
1 0 2 11 0 57 108 51 1949
1 0 2 100 -5 0 1 1 1949
1 0 2 100 -4 0 2 2 1949
1 0 2 100 -3 1 5 4 1949
1 0 2 100 -2 1 4 3 1949
1 0 2 100 -1 5 15 10 1949
1 0 2 100 0 14 37 23 1949
1 0 2 101 -5 1 2 1 1949
1 0 2 101 -4 0 1 1 1949
1 0 2 101 -3 0 5 5 1949
1 0 2 101 -2 1 9 8 1949
1 0 2 101 -1 2 14 12 1949
1 0 2 101 0 15 38 23 1949
1 0 2 110 -4 0 3 3 1949
1 0 2 110 -2 0 2 2 1949
1 0 2 110 -1 4 12 8 1949
1 0 2 110 0 9 17 8 1949
1 0 2 111 -5 0 1 1 1949
1 0 2 111 -4 0 1 1 1949
1 0 2 111 -3 0 3 3 1949
1 0 2 111 -2 3 10 7 1949
1 0 2 111 -1 7 18 11 1949
1 0 2 111 0 9 24 15 1949
1 1 0 0 -9 0 1 1 1949
1 1 0 0 -6 0 5 5 1949
1 1 0 0 -5 4 12 8 1949
1 1 0 0 -4 3 15 12 1949
1 1 0 0 -3 9 36 27 1949
1 1 0 0 -2 22 80 58 1949
1 1 0 0 -1 59 148 89 1949
1 1 0 0 0 378 719 341 1949
1 1 0 0 1 3 9 6 1949
1 1 0 0 2 7 8 1 1949
1 1 0 0 3 3 4 1 1949
1 1 0 0 4 1 2 1 1949
1 1 0 1 -5 2 6 4 1949
1 1 0 1 -4 1 6 5 1949
1 1 0 1 -3 6 13 7 1949
1 1 0 1 -2 10 30 20 1949
1 1 0 1 -1 28 55 27 1949
1 1 0 1 0 136 238 102 1949
1 1 0 1 1 4 6 2 1949
1 1 0 1 2 2 3 1 1949
1 1 0 1 3 1 2 1 1949
1 1 0 1 4 1 1 0 1949
1 1 0 10 -5 0 1 1 1949
1 1 0 10 -4 0 1 1 1949
1 1 0 10 -3 0 1 1 1949
1 1 0 10 -2 0 6 6 1949
1 1 0 10 -1 4 14 10 1949
1 1 0 10 0 27 47 20 1949
1 1 0 10 1 6 9 3 1949
1 1 0 10 2 1 3 2 1949
1 1 0 11 -5 0 3 3 1949
1 1 0 11 -4 1 3 2 1949
1 1 0 11 -3 1 3 2 1949
1 1 0 11 -2 4 14 10 1949
1 1 0 11 -1 7 14 7 1949
1 1 0 11 0 38 66 28 1949
1 1 0 11 1 8 14 6 1949
1 1 0 11 2 1 2 1 1949
1 1 0 11 4 1 1 0 1949
1 1 0 100 -3 1 1 0 1949
1 1 0 100 -1 1 4 3 1949
1 1 0 100 0 9 15 6 1949
1 1 0 100 1 2 4 2 1949
1 1 0 100 4 1 1 0 1949
1 1 0 101 -2 2 4 2 1949
1 1 0 101 -1 3 4 1 1949
1 1 0 101 0 13 22 9 1949
1 1 0 101 1 1 3 2 1949
1 1 0 101 2 3 3 0 1949
1 1 0 101 3 1 1 0 1949
1 1 0 110 -5 1 1 0 1949
1 1 0 110 -2 0 1 1 1949
1 1 0 110 -1 4 4 0 1949
1 1 0 110 0 2 7 5 1949
1 1 0 110 1 4 5 1 1949
1 1 0 110 2 1 2 1 1949
1 1 0 111 -4 0 1 1 1949
1 1 0 111 -3 0 1 1 1949
1 1 0 111 -2 1 2 1 1949
1 1 0 111 -1 0 4 4 1949
1 1 0 111 0 16 21 5 1949
1 1 0 111 1 8 11 3 1949
1 1 0 111 2 3 5 2 1949
1 1 0 111 4 1 1 0 1949
1 1 1 0 -9 0 1 1 1949
1 1 1 0 -6 0 5 5 1949
1 1 1 0 -5 2 5 3 1949
1 1 1 0 -4 2 9 7 1949
1 1 1 0 -3 3 23 20 1949
1 1 1 0 -2 12 47 35 1949
1 1 1 0 -1 30 84 54 1949
1 1 1 0 0 213 436 223 1949
1 1 1 0 1 6 13 7 1949
1 1 1 0 2 12 13 1 1949
1 1 1 0 3 7 9 2 1949
1 1 1 0 4 1 2 1 1949
1 1 1 0 5 2 2 0 1949
1 1 1 1 -9 0 1 1 1949
1 1 1 1 -6 0 1 1 1949
1 1 1 1 -5 1 3 2 1949
1 1 1 1 -4 2 5 3 1949
1 1 1 1 -3 4 13 9 1949
1 1 1 1 -2 7 20 13 1949
1 1 1 1 -1 12 41 29 1949
1 1 1 1 0 112 199 87 1949
1 1 1 1 1 13 23 10 1949
1 1 1 1 2 7 9 2 1949
1 1 1 1 3 5 7 2 1949
1 1 1 1 4 5 6 1 1949
