INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -5 0 1 1 1961
1 0 0 0 -4 0 4 4 1961
1 0 0 0 -3 1 3 2 1961
1 0 0 0 -2 1 6 5 1961
1 0 0 0 -1 2 14 12 1961
1 0 0 0 0 633 1430 797 1961
1 0 0 1 -4 0 1 1 1961
1 0 0 1 -3 0 1 1 1961
1 0 0 1 -2 0 7 7 1961
1 0 0 1 -1 5 14 9 1961
1 0 0 1 0 160 377 217 1961
1 0 0 10 -6 0 1 1 1961
1 0 0 10 -5 0 1 1 1961
1 0 0 10 -4 0 1 1 1961
1 0 0 10 -3 0 1 1 1961
1 0 0 10 -2 1 5 4 1961
1 0 0 10 -1 3 9 6 1961
1 0 0 10 0 37 89 52 1961
1 0 0 11 -4 0 1 1 1961
1 0 0 11 -2 0 2 2 1961
1 0 0 11 -1 2 13 11 1961
1 0 0 11 0 19 58 39 1961
1 0 0 100 -2 2 2 0 1961
1 0 0 100 -1 1 6 5 1961
1 0 0 100 0 7 16 9 1961
1 0 0 101 -4 0 1 1 1961
1 0 0 101 -3 0 2 2 1961
1 0 0 101 -2 2 3 1 1961
1 0 0 101 -1 2 7 5 1961
1 0 0 101 0 12 30 18 1961
1 0 0 110 -1 1 2 1 1961
1 0 0 110 0 7 16 9 1961
1 0 0 111 -4 0 1 1 1961
1 0 0 111 -2 0 2 2 1961
1 0 0 111 -1 1 6 5 1961
1 0 0 111 0 6 17 11 1961
1 0 1 0 -5 0 2 2 1961
1 0 1 0 -4 0 5 5 1961
1 0 1 0 -3 5 16 11 1961
1 0 1 0 -2 8 15 7 1961
1 0 1 0 -1 5 21 16 1961
1 0 1 0 0 452 984 532 1961
1 0 1 1 -6 0 1 1 1961
1 0 1 1 -4 0 3 3 1961
1 0 1 1 -3 2 5 3 1961
1 0 1 1 -2 6 13 7 1961
1 0 1 1 -1 14 25 11 1961
1 0 1 1 0 167 395 228 1961
1 0 1 10 -6 0 1 1 1961
1 0 1 10 -5 0 1 1 1961
1 0 1 10 -4 0 2 2 1961
1 0 1 10 -3 1 6 5 1961
1 0 1 10 -2 3 6 3 1961
1 0 1 10 -1 9 27 18 1961
1 0 1 10 0 56 134 78 1961
1 0 1 11 -4 0 1 1 1961
1 0 1 11 -3 1 3 2 1961
1 0 1 11 -2 2 5 3 1961
1 0 1 11 -1 9 25 16 1961
1 0 1 11 0 34 91 57 1961
1 0 1 100 -4 0 1 1 1961
1 0 1 100 -3 0 1 1 1961
1 0 1 100 -2 0 3 3 1961
1 0 1 100 -1 5 14 9 1961
