INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -4 1 2 1 1966
1 0 0 0 -3 0 3 3 1966
1 0 0 0 -2 2 3 1 1966
1 0 0 0 -1 8 14 6 1966
1 0 0 0 0 846 1609 763 1966
1 0 0 1 -4 0 1 1 1966
1 0 0 1 -3 1 1 0 1966
1 0 0 1 -2 2 4 2 1966
1 0 0 1 -1 5 11 6 1966
1 0 0 1 0 204 392 188 1966
1 0 0 10 -3 0 1 1 1966
1 0 0 10 -2 2 4 2 1966
1 0 0 10 -1 2 9 7 1966
1 0 0 10 0 57 125 68 1966
1 0 0 11 -2 1 3 2 1966
1 0 0 11 -1 2 5 3 1966
1 0 0 11 0 24 65 41 1966
1 0 0 100 -1 2 4 2 1966
1 0 0 100 0 15 30 15 1966
1 0 0 101 -3 0 2 2 1966
1 0 0 101 -2 1 2 1 1966
1 0 0 101 -1 1 7 6 1966
1 0 0 101 0 15 32 17 1966
1 0 0 110 -2 0 1 1 1966
1 0 0 110 -1 1 4 3 1966
1 0 0 110 0 8 12 4 1966
1 0 0 111 -3 0 1 1 1966
1 0 0 111 -2 0 1 1 1966
1 0 0 111 -1 1 3 2 1966
1 0 0 111 0 4 10 6 1966
1 0 1 0 -5 0 2 2 1966
1 0 1 0 -4 2 6 4 1966
1 0 1 0 -3 1 13 12 1966
1 0 1 0 -2 9 23 14 1966
1 0 1 0 -1 11 29 18 1966
1 0 1 0 0 609 1145 536 1966
1 0 1 1 -5 0 2 2 1966
1 0 1 1 -4 0 3 3 1966
1 0 1 1 -3 2 8 6 1966
1 0 1 1 -2 3 10 7 1966
1 0 1 1 -1 14 36 22 1966
1 0 1 1 0 235 424 189 1966
1 0 1 10 -6 0 2 2 1966
1 0 1 10 -5 0 2 2 1966
1 0 1 10 -3 0 4 4 1966
1 0 1 10 -2 4 13 9 1966
1 0 1 10 -1 12 31 19 1966
1 0 1 10 0 93 171 78 1966
1 0 1 11 -3 1 6 5 1966
1 0 1 11 -2 5 9 4 1966
1 0 1 11 -1 9 21 12 1966
1 0 1 11 0 50 100 50 1966
1 0 1 100 -5 0 1 1 1966
1 0 1 100 -4 0 1 1 1966
1 0 1 100 -3 0 1 1 1966
1 0 1 100 -2 1 7 6 1966
1 0 1 100 -1 6 14 8 1966
1 0 1 100 0 34 66 32 1966
1 0 1 101 -5 0 1 1 1966
1 0 1 101 -4 0 2 2 1966
1 0 1 101 -3 1 3 2 1966
1 0 1 101 -2 1 5 4 1966
1 0 1 101 -1 10 23 13 1966
1 0 1 101 0 32 70 38 1966
1 0 1 110 -3 0 1 1 1966
1 0 1 110 -2 2 3 1 1966
1 0 1 110 -1 4 11 7 1966
1 0 1 110 0 20 40 20 1966
1 0 1 111 -3 0 3 3 1966
1 0 1 111 -2 5 5 0 1966
1 0 1 111 -1 3 10 7 1966
1 0 1 111 0 9 17 8 1966
1 0 2 0 -7 0 1 1 1966
1 0 2 0 -4 3 8 5 1966
1 0 2 0 -3 4 26 22 1966
1 0 2 0 -2 12 43 31 1966
1 0 2 0 -1 36 75 39 1966
1 0 2 0 0 455 859 404 1966
1 0 2 1 -5 0 1 1 1966
1 0 2 1 -4 4 8 4 1966
1 0 2 1 -3 2 9 7 1966
1 0 2 1 -2 9 33 24 1966
1 0 2 1 -1 32 67 35 1966
1 0 2 1 0 200 369 169 1966
1 0 2 10 -6 0 2 2 1966
1 0 2 10 -5 0 3 3 1966
1 0 2 10 -4 2 5 3 1966
1 0 2 10 -3 1 11 10 1966
1 0 2 10 -2 8 24 16 1966
1 0 2 10 -1 25 59 34 1966
1 0 2 10 0 101 184 83 1966
1 0 2 11 -4 1 1 0 1966
1 0 2 11 -3 1 8 7 1966
1 0 2 11 -2 7 18 11 1966
1 0 2 11 -1 23 46 23 1966
1 0 2 11 0 69 124 55 1966
1 0 2 100 -5 0 2 2 1966
1 0 2 100 -3 1 5 4 1966
1 0 2 100 -2 9 15 6 1966
1 0 2 100 -1 9 23 14 1966
1 0 2 100 0 34 61 27 1966
1 0 2 101 -5 0 1 1 1966
1 0 2 101 -4 1 2 1 1966
1 0 2 101 -3 5 10 5 1966
1 0 2 101 -2 5 14 9 1966
1 0 2 101 -1 9 20 11 1966
1 0 2 101 0 31 63 32 1966
1 0 2 110 -4 0 2 2 1966
1 0 2 110 -3 0 1 1 1966
1 0 2 110 -2 3 5 2 1966
1 0 2 110 -1 10 13 3 1966
1 0 2 110 0 14 26 12 1966
1 0 2 111 -3 2 5 3 1966
1 0 2 111 -2 5 7 2 1966
1 0 2 111 -1 9 13 4 1966
1 0 2 111 0 13 33 20 1966
1 1 0 0 -7 0 1 1 1966
1 1 0 0 -6 0 2 2 1966
1 1 0 0 -5 0 7 7 1966
1 1 0 0 -4 7 19 12 1966
1 1 0 0 -3 12 55 43 1966
1 1 0 0 -2 42 106 64 1966
1 1 0 0 -1 107 232 125 1966
1 1 0 0 0 683 1196 513 1966
1 1 0 0 1 17 21 4 1966
1 1 0 0 2 8 8 0 1966
1 1 0 0 3 2 2 0 1966
1 1 0 1 -6 0 1 1 1966
1 1 0 1 -5 0 1 1 1966
1 1 0 1 -4 4 9 5 1966
1 1 0 1 -3 5 15 10 1966
1 1 0 1 -2 10 26 16 1966
1 1 0 1 -1 37 71 34 1966
1 1 0 1 0 231 363 132 1966
1 1 0 1 1 16 18 2 1966
1 1 0 1 2 5 5 0 1966
1 1 0 1 3 2 2 0 1966
1 1 0 1 5 1 1 0 1966
1 1 0 10 -3 0 5 5 1966
1 1 0 10 -2 2 6 4 1966
1 1 0 10 -1 6 18 12 1966
1 1 0 10 0 60 107 47 1966
1 1 0 10 1 14 15 1 1966
1 1 0 10 2 7 7 0 1966
1 1 0 10 3 2 2 0 1966
1 1 0 11 -5 0 1 1 1966
1 1 0 11 -4 1 2 1 1966
1 1 0 11 -3 2 3 1 1966
1 1 0 11 -2 1 6 5 1966
1 1 0 11 -1 10 20 10 1966
1 1 0 11 0 35 55 20 1966
1 1 0 11 1 9 10 1 1966
1 1 0 11 2 2 3 1 1966
1 1 0 11 3 1 2 1 1966
1 1 0 11 4 1 1 0 1966
1 1 0 100 -1 3 5 2 1966
1 1 0 100 0 21 33 12 1966
1 1 0 100 1 6 6 0 1966
1 1 0 100 2 2 2 0 1966
1 1 0 100 4 1 1 0 1966
1 1 0 101 -6 0 1 1 1966
1 1 0 101 -5 0 1 1 1966
1 1 0 101 -4 0 1 1 1966
1 1 0 101 -3 0 1 1 1966
1 1 0 101 -2 1 2 1 1966
1 1 0 101 -1 8 10 2 1966
1 1 0 101 0 35 44 9 1966
1 1 0 101 1 12 16 4 1966
1 1 0 101 2 2 4 2 1966
1 1 0 101 3 2 2 0 1966
1 1 0 101 5 1 1 0 1966
1 1 0 110 0 9 14 5 1966
1 1 0 110 1 5 5 0 1966
1 1 0 110 2 3 3 0 1966
1 1 0 110 4 1 1 0 1966
1 1 0 111 -1 4 4 0 1966
1 1 0 111 0 10 14 4 1966
1 1 0 111 1 5 7 2 1966
1 1 0 111 2 3 3 0 1966
1 1 0 111 4 1 1 0 1966
1 1 1 0 -7 0 1 1 1966
1 1 1 0 -6 0 1 1 1966
1 1 1 0 -5 0 6 6 1966
1 1 1 0 -4 3 10 7 1966
1 1 1 0 -3 7 38 31 1966
1 1 1 0 -2 30 78 48 1966
1 1 1 0 -1 67 153 86 1966
1 1 1 0 0 420 777 357 1966
1 1 1 0 1 27 34 7 1966
1 1 1 0 2 20 23 3 1966
1 1 1 0 3 7 10 3 1966
1 1 1 0 4 3 3 0 1966
1 1 1 1 -7 0 1 1 1966
1 1 1 1 -6 0 1 1 1966
1 1 1 1 -5 0 1 1 1966
1 1 1 1 -4 3 9 6 1966
1 1 1 1 -3 5 19 14 1966
1 1 1 1 -2 14 32 18 1966
1 1 1 1 -1 29 59 30 1966
1 1 1 1 0 186 328 142 1966
1 1 1 1 1 27 36 9 1966
1 1 1 1 2 14 14 0 1966
1 1 1 1 3 6 7 1 1966
1 1 1 1 4 2 2 0 1966
1 1 1 1 6 1 1 0 1966
1 1 1 10 -4 2 2 0 1966
1 1 1 10 -3 0 8 8 1966
1 1 1 10 -2 2 7 5 1966
1 1 1 10 -1 13 26 13 1966
1 1 1 10 0 78 141 63 1966
1 1 1 10 1 25 34 9 1966
1 1 1 10 2 11 11 0 1966
1 1 1 10 3 4 5 1 1966
1 1 1 10 4 2 2 0 1966
1 1 1 11 -5 0 1 1 1966
1 1 1 11 -4 1 1 0 1966
1 1 1 11 -3 3 7 4 1966
1 1 1 11 -2 7 10 3 1966
1 1 1 11 -1 6 19 13 1966
1 1 1 11 0 56 88 32 1966
1 1 1 11 1 22 26 4 1966
1 1 1 11 2 9 10 1 1966
1 1 1 11 3 2 3 1 1966
1 1 1 11 4 1 1 0 1966
1 1 1 11 5 1 1 0 1966
1 1 1 100 -2 2 3 1 1966
1 1 1 100 -1 4 13 9 1966
1 1 1 100 0 30 58 28 1966
1 1 1 100 1 13 18 5 1966
1 1 1 100 2 7 7 0 1966
1 1 1 100 3 1 1 0 1966
1 1 1 100 4 3 3 0 1966
1 1 1 101 -5 0 1 1 1966
1 1 1 101 -4 1 3 2 1966
1 1 1 101 -2 1 4 3 1966
1 1 1 101 -1 7 10 3 1966
1 1 1 101 0 28 41 13 1966
1 1 1 101 1 14 20 6 1966
1 1 1 101 2 3 6 3 1966
1 1 1 101 3 2 2 0 1966
1 1 1 101 4 1 1 0 1966
1 1 1 101 6 1 1 0 1966
1 1 1 110 -4 1 2 1 1966
1 1 1 110 -3 1 3 2 1966
1 1 1 110 -2 0 1 1 1966
1 1 1 110 -1 2 5 3 1966
1 1 1 110 0 19 28 9 1966
1 1 1 110 1 9 10 1 1966
1 1 1 110 2 3 3 0 1966
1 1 1 110 3 1 1 0 1966
1 1 1 110 4 1 1 0 1966
1 1 1 110 5 1 1 0 1966
1 1 1 111 -4 1 1 0 1966
1 1 1 111 -3 1 2 1 1966
1 1 1 111 -2 1 1 0 1966
1 1 1 111 -1 1 1 0 1966
1 1 1 111 0 11 19 8 1966
1 1 1 111 1 9 12 3 1966
1 1 1 111 3 3 3 0 1966
1 1 1 111 4 1 1 0 1966
1 1 1 111 5 1 1 0 1966
1 1 2 0 -5 0 5 5 1966
1 1 2 0 -4 1 6 5 1966
1 1 2 0 -3 3 26 23 1966
1 1 2 0 -2 19 56 37 1966
1 1 2 0 -1 48 110 62 1966
1 1 2 0 0 310 601 291 1966
1 1 2 0 1 44 71 27 1966
1 1 2 0 2 32 40 8 1966
1 1 2 0 3 10 15 5 1966
1 1 2 0 4 4 4 0 1966
1 1 2 0 5 3 3 0 1966
1 1 2 1 -6 0 1 1 1966
1 1 2 1 -5 0 1 1 1966
1 1 2 1 -4 2 6 4 1966
1 1 2 1 -3 3 12 9 1966
1 1 2 1 -2 12 33 21 1966
1 1 2 1 -1 24 57 33 1966
1 1 2 1 0 144 274 130 1966
1 1 2 1 1 54 82 28 1966
1 1 2 1 2 23 26 3 1966
1 1 2 1 3 17 21 4 1966
1 1 2 1 4 5 6 1 1966
1 1 2 1 5 1 1 0 1966
1 1 2 10 -5 0 1 1 1966
1 1 2 10 -4 2 2 0 1966
1 1 2 10 -3 0 10 10 1966
1 1 2 10 -2 3 12 9 1966
1 1 2 10 -1 13 27 14 1966
1 1 2 10 0 70 135 65 1966
1 1 2 10 1 34 50 16 1966
1 1 2 10 2 19 21 2 1966
1 1 2 10 3 10 12 2 1966
1 1 2 10 4 1 1 0 1966
1 1 2 11 -5 0 2 2 1966
1 1 2 11 -3 1 7 6 1966
1 1 2 11 -2 4 15 11 1966
1 1 2 11 -1 8 21 13 1966
1 1 2 11 0 60 105 45 1966
1 1 2 11 1 28 41 13 1966
1 1 2 11 2 17 19 2 1966
1 1 2 11 3 9 11 2 1966
1 1 2 11 4 3 3 0 1966
1 1 2 11 7 1 1 0 1966
1 1 2 100 -3 0 2 2 1966
1 1 2 100 -2 4 6 2 1966
1 1 2 100 -1 3 9 6 1966
1 1 2 100 0 27 69 42 1966
1 1 2 100 1 19 24 5 1966
1 1 2 100 2 17 17 0 1966
1 1 2 100 3 6 6 0 1966
1 1 2 100 4 2 2 0 1966
1 1 2 101 -4 0 1 1 1966
1 1 2 101 -3 0 1 1 1966
1 1 2 101 -2 1 5 4 1966
1 1 2 101 -1 5 8 3 1966
1 1 2 101 0 22 55 33 1966
1 1 2 101 1 14 24 10 1966
1 1 2 101 2 6 8 2 1966
1 1 2 101 3 3 5 2 1966
1 1 2 101 4 2 2 0 1966
1 1 2 101 6 2 2 0 1966
1 1 2 110 -3 1 4 3 1966
1 1 2 110 -2 0 2 2 1966
1 1 2 110 -1 5 7 2 1966
1 1 2 110 0 17 27 10 1966
1 1 2 110 1 6 8 2 1966
1 1 2 110 2 6 8 2 1966
1 1 2 110 4 2 2 0 1966
1 1 2 110 5 2 2 0 1966
1 1 2 111 -4 1 1 0 1966
1 1 2 111 -3 3 5 2 1966
1 1 2 111 -2 1 2 1 1966
1 1 2 111 -1 3 5 2 1966
1 1 2 111 0 18 29 11 1966
1 1 2 111 1 10 13 3 1966
1 1 2 111 2 5 6 1 1966
1 1 2 111 3 2 2 0 1966
1 1 2 111 4 2 2 0 1966
1 1 2 111 5 1 1 0 1966
2 0 0 0 -7 0 1 1 1966
2 0 0 0 -5 0 7 7 1966
2 0 0 0 -4 6 14 8 1966
2 0 0 0 -3 6 51 45 1966
2 0 0 0 -2 25 86 61 1966
2 0 0 0 -1 79 203 124 1966
2 0 0 0 0 451 890 439 1966
2 0 0 0 1 140 225 85 1966
2 0 0 0 2 89 105 16 1966
2 0 0 0 3 42 54 12 1966
2 0 0 0 4 15 16 1 1966
2 0 0 0 5 7 7 0 1966
2 0 0 0 6 1 1 0 1966
2 0 0 0 7 1 1 0 1966
2 0 0 1 -5 0 1 1 1966
2 0 0 1 -4 3 5 2 1966
2 0 0 1 -3 3 13 10 1966
2 0 0 1 -2 7 26 19 1966
2 0 0 1 -1 16 45 29 1966
2 0 0 1 0 110 226 116 1966
2 0 0 1 1 31 51 20 1966
2 0 0 1 2 21 24 3 1966
2 0 0 1 3 10 16 6 1966
2 0 0 1 4 3 3 0 1966
2 0 0 1 5 1 1 0 1966
2 0 0 10 -7 0 1 1 1966
2 0 0 10 -5 0 1 1 1966
2 0 0 10 -4 3 3 0 1966
2 0 0 10 -3 0 3 3 1966
2 0 0 10 -2 3 12 9 1966
2 0 0 10 -1 4 12 8 1966
2 0 0 10 0 26 47 21 1966
2 0 0 10 1 6 9 3 1966
2 0 0 10 2 5 5 0 1966
2 0 0 10 3 0 1 1 1966
2 0 0 10 4 3 3 0 1966
2 0 0 11 -4 1 3 2 1966
2 0 0 11 -3 0 1 1 1966
2 0 0 11 -2 2 7 5 1966
2 0 0 11 -1 3 12 9 1966
2 0 0 11 0 25 50 25 1966
2 0 0 11 1 3 8 5 1966
2 0 0 11 2 6 8 2 1966
2 0 0 11 3 3 5 2 1966
2 0 0 11 4 2 2 0 1966
2 0 0 100 -7 0 1 1 1966
2 0 0 100 -3 0 1 1 1966
2 0 0 100 -2 2 4 2 1966
2 0 0 100 -1 4 6 2 1966
2 0 0 100 0 3 7 4 1966
2 0 0 100 1 1 1 0 1966
2 0 0 100 2 1 1 0 1966
2 0 0 101 -5 0 2 2 1966
2 0 0 101 -3 0 3 3 1966
2 0 0 101 -2 2 3 1 1966
2 0 0 101 -1 3 7 4 1966
2 0 0 101 0 10 18 8 1966
2 0 0 101 1 5 7 2 1966
2 0 0 101 2 3 3 0 1966
2 0 0 101 3 2 2 0 1966
2 0 0 101 5 1 1 0 1966
2 0 0 110 -5 1 1 0 1966
2 0 0 110 -4 0 1 1 1966
2 0 0 110 -2 1 3 2 1966
2 0 0 110 -1 1 5 4 1966
2 0 0 110 0 8 10 2 1966
2 0 0 110 1 1 1 0 1966
2 0 0 110 2 2 2 0 1966
2 0 0 111 -2 1 2 1 1966
2 0 0 111 0 6 12 6 1966
2 0 0 111 1 4 6 2 1966
2 0 0 111 2 2 2 0 1966
2 0 0 111 3 0 1 1 1966
2 0 0 111 4 1 1 0 1966
2 0 1 0 -8 0 1 1 1966
2 0 1 0 -7 0 1 1 1966
2 0 1 0 -5 0 7 7 1966
2 0 1 0 -4 4 14 10 1966
2 0 1 0 -3 4 44 40 1966
