INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -4 0 4 4 1969
1 0 0 0 -3 3 6 3 1969
1 0 0 0 -2 1 5 4 1969
1 0 0 0 -1 8 23 15 1969
1 0 0 0 0 1056 1948 892 1969
1 0 0 1 -4 1 4 3 1969
1 0 0 1 -3 1 1 0 1969
1 0 0 1 -2 1 8 7 1969
1 0 0 1 -1 9 19 10 1969
1 0 0 1 0 255 515 260 1969
1 0 0 10 -3 1 1 0 1969
1 0 0 10 -2 3 7 4 1969
1 0 0 10 -1 7 14 7 1969
1 0 0 10 0 66 147 81 1969
1 0 0 11 -6 0 1 1 1969
1 0 0 11 -5 0 1 1 1969
1 0 0 11 -4 0 1 1 1969
1 0 0 11 -3 0 1 1 1969
1 0 0 11 -2 2 8 6 1969
1 0 0 11 -1 6 12 6 1969
1 0 0 11 0 38 88 50 1969
1 0 0 100 -2 2 4 2 1969
1 0 0 100 -1 4 13 9 1969
1 0 0 100 0 16 29 13 1969
1 0 0 101 -4 0 1 1 1969
1 0 0 101 -2 2 7 5 1969
1 0 0 101 -1 7 15 8 1969
1 0 0 101 0 21 56 35 1969
1 0 0 110 -2 1 2 1 1969
1 0 0 110 -1 3 9 6 1969
1 0 0 110 0 8 21 13 1969
1 0 0 111 -2 1 2 1 1969
1 0 0 111 -1 3 6 3 1969
1 0 0 111 0 4 19 15 1969
1 0 1 0 -6 0 1 1 1969
1 0 1 0 -5 0 1 1 1969
1 0 1 0 -4 1 3 2 1969
1 0 1 0 -3 6 17 11 1969
1 0 1 0 -2 12 30 18 1969
1 0 1 0 -1 13 38 25 1969
1 0 1 0 0 775 1362 587 1969
1 0 1 1 -9 0 1 1 1969
1 0 1 1 -5 0 1 1 1969
1 0 1 1 -4 1 3 2 1969
1 0 1 1 -3 1 7 6 1969
1 0 1 1 -2 11 20 9 1969
1 0 1 1 -1 25 56 31 1969
1 0 1 1 0 287 527 240 1969
1 0 1 10 -3 2 3 1 1969
1 0 1 10 -2 4 12 8 1969
1 0 1 10 -1 13 36 23 1969
1 0 1 10 0 103 196 93 1969
1 0 1 11 -6 0 1 1 1969
1 0 1 11 -4 0 8 8 1969
1 0 1 11 -3 1 6 5 1969
1 0 1 11 -2 4 15 11 1969
1 0 1 11 -1 19 33 14 1969
1 0 1 11 0 64 136 72 1969
1 0 1 100 -2 6 14 8 1969
1 0 1 100 -1 7 18 11 1969
1 0 1 100 0 43 79 36 1969
1 0 1 101 -4 0 1 1 1969
1 0 1 101 -3 0 2 2 1969
1 0 1 101 -2 5 18 13 1969
1 0 1 101 -1 5 23 18 1969
1 0 1 101 0 39 76 37 1969
1 0 1 110 -7 0 1 1 1969
1 0 1 110 -4 0 2 2 1969
1 0 1 110 -3 2 4 2 1969
1 0 1 110 -2 8 14 6 1969
1 0 1 110 -1 10 19 9 1969
1 0 1 110 0 16 32 16 1969
1 0 1 111 -4 0 2 2 1969
1 0 1 111 -3 3 5 2 1969
1 0 1 111 -2 4 13 9 1969
1 0 1 111 -1 9 21 12 1969
1 0 1 111 0 14 36 22 1969
1 0 2 0 -8 0 1 1 1969
1 0 2 0 -6 0 1 1 1969
1 0 2 0 -5 0 2 2 1969
1 0 2 0 -4 1 6 5 1969
