INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -5 0 1 1 1999
1 0 0 0 -4 0 5 5 1999
1 0 0 0 -3 0 9 9 1999
1 0 0 0 -2 5 16 11 1999
1 0 0 0 -1 25 54 29 1999
1 0 0 0 0 1252 2429 1177 1999
1 0 0 1 -3 1 5 4 1999
1 0 0 1 -2 4 8 4 1999
1 0 0 1 -1 10 35 25 1999
1 0 0 1 0 311 656 345 1999
1 0 0 10 -4 0 1 1 1999
1 0 0 10 -2 0 6 6 1999
1 0 0 10 -1 9 23 14 1999
1 0 0 10 0 101 212 111 1999
1 0 0 11 -4 0 1 1 1999
1 0 0 11 -3 2 8 6 1999
1 0 0 11 -2 3 9 6 1999
1 0 0 11 -1 6 20 14 1999
1 0 0 11 0 44 118 74 1999
1 0 0 100 -2 0 1 1 1999
1 0 0 100 -1 1 6 5 1999
1 0 0 100 0 15 31 16 1999
1 0 0 101 -3 1 2 1 1999
1 0 0 101 -2 0 7 7 1999
1 0 0 101 -1 3 14 11 1999
1 0 0 101 0 19 54 35 1999
1 0 0 110 -3 1 1 0 1999
1 0 0 110 -2 1 3 2 1999
1 0 0 110 -1 2 8 6 1999
1 0 0 110 0 6 22 16 1999
1 0 0 111 -3 0 1 1 1999
1 0 0 111 -2 0 2 2 1999
1 0 0 111 -1 2 11 9 1999
1 0 0 111 0 8 28 20 1999
1 0 1 0 -8 0 1 1 1999
1 0 1 0 -7 0 1 1 1999
1 0 1 0 -5 0 6 6 1999
1 0 1 0 -4 0 18 18 1999
1 0 1 0 -3 4 32 28 1999
1 0 1 0 -2 17 51 34 1999
1 0 1 0 -1 42 89 47 1999
1 0 1 0 0 868 1613 745 1999
1 0 1 1 -8 0 1 1 1999
1 0 1 1 -7 0 1 1 1999
1 0 1 1 -5 0 5 5 1999
1 0 1 1 -4 1 7 6 1999
1 0 1 1 -3 1 14 13 1999
1 0 1 1 -2 9 28 19 1999
1 0 1 1 -1 35 74 39 1999
1 0 1 1 0 322 639 317 1999
1 0 1 10 -5 0 1 1 1999
1 0 1 10 -4 0 6 6 1999
1 0 1 10 -3 4 12 8 1999
1 0 1 10 -2 5 24 19 1999
1 0 1 10 -1 25 62 37 1999
1 0 1 10 0 135 276 141 1999
1 0 1 11 -5 0 2 2 1999
1 0 1 11 -4 1 12 11 1999
1 0 1 11 -3 1 18 17 1999
1 0 1 11 -2 7 26 19 1999
1 0 1 11 -1 20 62 42 1999
1 0 1 11 0 90 220 130 1999
1 0 1 100 -4 0 1 1 1999
1 0 1 100 -3 1 2 1 1999
1 0 1 100 -2 1 6 5 1999
1 0 1 100 -1 9 23 14 1999
1 0 1 100 0 53 96 43 1999
1 0 1 101 -4 0 3 3 1999
1 0 1 101 -3 0 4 4 1999
1 0 1 101 -2 2 18 16 1999
1 0 1 101 -1 11 35 24 1999
1 0 1 101 0 44 98 54 1999
1 0 1 110 -4 0 3 3 1999
1 0 1 110 -3 1 8 7 1999
1 0 1 110 -2 1 8 7 1999
1 0 1 110 -1 6 22 16 1999
1 0 1 110 0 28 54 26 1999
1 0 1 111 -5 0 2 2 1999
1 0 1 111 -4 1 6 5 1999
1 0 1 111 -3 0 6 6 1999
1 0 1 111 -2 1 7 6 1999
1 0 1 111 -1 8 27 19 1999
1 0 1 111 0 16 46 30 1999
1 0 2 0 -6 0 1 1 1999
1 0 2 0 -5 2 10 8 1999
