INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -3 1 5 4 1964
1 0 0 0 -2 4 8 4 1964
1 0 0 0 -1 7 22 15 1964
1 0 0 0 0 719 1628 909 1964
1 0 0 1 -5 0 1 1 1964
1 0 0 1 -3 0 2 2 1964
1 0 0 1 -2 0 4 4 1964
1 0 0 1 -1 4 13 9 1964
1 0 0 1 0 160 416 256 1964
1 0 0 10 -4 0 1 1 1964
1 0 0 10 -3 0 1 1 1964
1 0 0 10 -2 1 6 5 1964
1 0 0 10 -1 5 18 13 1964
1 0 0 10 0 38 103 65 1964
1 0 0 11 -6 0 1 1 1964
1 0 0 11 -4 0 1 1 1964
1 0 0 11 -3 1 2 1 1964
1 0 0 11 -2 3 5 2 1964
1 0 0 11 -1 4 12 8 1964
1 0 0 11 0 27 84 57 1964
1 0 0 100 -3 0 1 1 1964
1 0 0 100 -2 2 3 1 1964
1 0 0 100 -1 1 4 3 1964
1 0 0 100 0 4 14 10 1964
1 0 0 101 -3 0 1 1 1964
1 0 0 101 -2 2 8 6 1964
1 0 0 101 -1 4 14 10 1964
1 0 0 101 0 14 38 24 1964
1 0 0 110 -4 0 1 1 1964
1 0 0 110 -3 0 1 1 1964
1 0 0 110 -2 0 3 3 1964
1 0 0 110 -1 1 6 5 1964
1 0 0 110 0 5 17 12 1964
1 0 0 111 -4 0 1 1 1964
1 0 0 111 -2 0 5 5 1964
1 0 0 111 -1 1 8 7 1964
1 0 0 111 0 4 12 8 1964
1 0 1 0 -5 0 1 1 1964
1 0 1 0 -4 0 3 3 1964
1 0 1 0 -3 5 19 14 1964
1 0 1 0 -2 12 30 18 1964
1 0 1 0 -1 9 28 19 1964
1 0 1 0 0 536 1138 602 1964
1 0 1 1 -5 0 1 1 1964
1 0 1 1 -4 1 4 3 1964
1 0 1 1 -3 2 11 9 1964
1 0 1 1 -2 5 22 17 1964
1 0 1 1 -1 15 38 23 1964
1 0 1 1 0 188 419 231 1964
1 0 1 10 -7 0 1 1 1964
1 0 1 10 -6 0 2 2 1964
1 0 1 10 -3 1 6 5 1964
1 0 1 10 -2 2 13 11 1964
1 0 1 10 -1 9 29 20 1964
1 0 1 10 0 72 166 94 1964
1 0 1 11 -4 1 2 1 1964
1 0 1 11 -3 1 8 7 1964
1 0 1 11 -2 7 11 4 1964
1 0 1 11 -1 10 27 17 1964
1 0 1 11 0 53 120 67 1964
1 0 1 100 -3 0 1 1 1964
1 0 1 100 -2 3 7 4 1964
1 0 1 100 -1 2 12 10 1964
1 0 1 100 0 21 56 35 1964
1 0 1 101 -5 0 1 1 1964
1 0 1 101 -4 0 5 5 1964
1 0 1 101 -3 2 6 4 1964
1 0 1 101 -2 3 10 7 1964
1 0 1 101 -1 11 29 18 1964
1 0 1 101 0 19 68 49 1964
1 0 1 110 -6 0 1 1 1964
1 0 1 110 -5 0 3 3 1964
1 0 1 110 -4 0 3 3 1964
1 0 1 110 -3 0 2 2 1964
1 0 1 110 -2 2 8 6 1964
1 0 1 110 -1 8 17 9 1964
1 0 1 110 0 9 33 24 1964
1 0 1 111 -4 0 3 3 1964
1 0 1 111 -3 2 7 5 1964
1 0 1 111 -2 2 9 7 1964
1 0 1 111 -1 7 19 12 1964
1 0 1 111 0 11 30 19 1964
1 0 2 0 -10 0 1 1 1964
1 0 2 0 -7 0 1 1 1964
1 0 2 0 -5 1 4 3 1964
1 0 2 0 -4 0 6 6 1964
1 0 2 0 -3 5 25 20 1964
