INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -5 1 2 1 1998
1 0 0 0 -4 1 3 2 1998
1 0 0 0 -3 0 4 4 1998
1 0 0 0 -2 1 9 8 1998
1 0 0 0 -1 18 38 20 1998
1 0 0 0 0 1294 2433 1139 1998
1 0 0 1 -5 1 1 0 1998
1 0 0 1 -4 1 3 2 1998
1 0 0 1 -3 0 3 3 1998
1 0 0 1 -2 0 7 7 1998
1 0 0 1 -1 11 26 15 1998
1 0 0 1 0 298 635 337 1998
1 0 0 10 -3 0 2 2 1998
1 0 0 10 -2 2 12 10 1998
1 0 0 10 -1 10 24 14 1998
1 0 0 10 0 88 183 95 1998
1 0 0 11 -4 0 1 1 1998
1 0 0 11 -2 0 6 6 1998
1 0 0 11 -1 4 20 16 1998
1 0 0 11 0 57 134 77 1998
1 0 0 100 -2 0 1 1 1998
1 0 0 100 -1 3 5 2 1998
1 0 0 100 0 15 29 14 1998
1 0 0 101 -3 0 2 2 1998
1 0 0 101 -2 1 3 2 1998
1 0 0 101 -1 3 12 9 1998
1 0 0 101 0 15 54 39 1998
1 0 0 110 -4 0 1 1 1998
1 0 0 110 -2 1 5 4 1998
1 0 0 110 -1 0 6 6 1998
1 0 0 110 0 15 36 21 1998
1 0 0 111 -3 0 1 1 1998
1 0 0 111 -2 0 2 2 1998
1 0 0 111 -1 3 7 4 1998
1 0 0 111 0 6 21 15 1998
1 0 1 0 -6 0 1 1 1998
1 0 1 0 -5 0 3 3 1998
1 0 1 0 -4 1 6 5 1998
1 0 1 0 -3 7 20 13 1998
1 0 1 0 -2 8 34 26 1998
1 0 1 0 -1 40 80 40 1998
1 0 1 0 0 940 1680 740 1998
1 0 1 1 -6 0 1 1 1998
1 0 1 1 -5 1 1 0 1998
1 0 1 1 -4 1 5 4 1998
1 0 1 1 -3 4 18 14 1998
1 0 1 1 -2 11 26 15 1998
1 0 1 1 -1 23 66 43 1998
1 0 1 1 0 309 576 267 1998
1 0 1 10 -6 0 1 1 1998
1 0 1 10 -3 2 8 6 1998
1 0 1 10 -2 3 20 17 1998
1 0 1 10 -1 28 61 33 1998
1 0 1 10 0 137 269 132 1998
1 0 1 11 -4 0 3 3 1998
1 0 1 11 -3 2 5 3 1998
1 0 1 11 -2 6 26 20 1998
1 0 1 11 -1 14 40 26 1998
1 0 1 11 0 93 167 74 1998
1 0 1 100 -4 0 1 1 1998
1 0 1 100 -3 0 4 4 1998
1 0 1 100 -2 3 9 6 1998
1 0 1 100 -1 12 23 11 1998
1 0 1 100 0 46 94 48 1998
1 0 1 101 -4 0 1 1 1998
1 0 1 101 -3 1 5 4 1998
1 0 1 101 -2 2 13 11 1998
1 0 1 101 -1 17 39 22 1998
1 0 1 101 0 41 95 54 1998
1 0 1 110 -4 0 4 4 1998
1 0 1 110 -2 2 9 7 1998
1 0 1 110 -1 7 19 12 1998
1 0 1 110 0 26 54 28 1998
1 0 1 111 -5 0 1 1 1998
1 0 1 111 -4 0 2 2 1998
1 0 1 111 -3 0 1 1 1998
1 0 1 111 -2 0 8 8 1998
1 0 1 111 -1 6 16 10 1998
1 0 1 111 0 18 39 21 1998
1 0 2 0 -9 0 1 1 1998
1 0 2 0 -6 0 1 1 1998
1 0 2 0 -5 0 7 7 1998
1 0 2 0 -4 1 12 11 1998
1 0 2 0 -3 14 32 18 1998
1 0 2 0 -2 25 64 39 1998
1 0 2 0 -1 75 143 68 1998
1 0 2 0 0 716 1256 540 1998
1 0 2 1 -6 0 1 1 1998
1 0 2 1 -5 1 4 3 1998
1 0 2 1 -4 3 10 7 1998
1 0 2 1 -3 5 22 17 1998
1 0 2 1 -2 18 48 30 1998
1 0 2 1 -1 54 119 65 1998
1 0 2 1 0 302 564 262 1998
1 0 2 10 -6 0 3 3 1998
1 0 2 10 -5 0 2 2 1998
1 0 2 10 -4 0 10 10 1998
1 0 2 10 -3 4 18 14 1998
1 0 2 10 -2 17 48 31 1998
1 0 2 10 -1 41 108 67 1998
1 0 2 10 0 150 258 108 1998
1 0 2 11 -6 0 1 1 1998
1 0 2 11 -5 0 1 1 1998
1 0 2 11 -4 2 10 8 1998
1 0 2 11 -3 4 10 6 1998
1 0 2 11 -2 11 34 23 1998
1 0 2 11 -1 36 76 40 1998
1 0 2 11 0 116 217 101 1998
1 0 2 100 -4 0 1 1 1998
1 0 2 100 -3 2 6 4 1998
1 0 2 100 -2 3 15 12 1998
1 0 2 100 -1 20 39 19 1998
1 0 2 100 0 67 129 62 1998
1 0 2 101 -5 0 2 2 1998
1 0 2 101 -4 0 3 3 1998
1 0 2 101 -3 2 7 5 1998
1 0 2 101 -2 11 20 9 1998
1 0 2 101 -1 27 48 21 1998
1 0 2 101 0 54 86 32 1998
1 0 2 110 -6 0 1 1 1998
1 0 2 110 -5 0 1 1 1998
1 0 2 110 -4 0 2 2 1998
1 0 2 110 -3 2 6 4 1998
1 0 2 110 -2 3 11 8 1998
1 0 2 110 -1 8 19 11 1998
1 0 2 110 0 20 42 22 1998
1 0 2 111 -7 0 1 1 1998
1 0 2 111 -6 0 1 1 1998
1 0 2 111 -5 0 1 1 1998
1 0 2 111 -4 0 2 2 1998
1 0 2 111 -3 1 3 2 1998
1 0 2 111 -2 2 9 7 1998
1 0 2 111 -1 14 22 8 1998
1 0 2 111 0 27 48 21 1998
1 1 0 0 -9 0 1 1 1998
1 1 0 0 -7 0 1 1 1998
1 1 0 0 -6 0 5 5 1998
1 1 0 0 -5 1 11 10 1998
1 1 0 0 -4 7 37 30 1998
1 1 0 0 -3 30 81 51 1998
1 1 0 0 -2 65 189 124 1998
1 1 0 0 -1 191 393 202 1998
1 1 0 0 0 1005 1724 719 1998
1 1 0 0 1 24 35 11 1998
1 1 0 0 2 12 16 4 1998
1 1 0 0 3 3 6 3 1998
1 1 0 0 4 3 4 1 1998
1 1 0 0 5 2 2 0 1998
1 1 0 0 6 0 1 1 1998
1 1 0 1 -9 0 1 1 1998
1 1 0 1 -6 0 2 2 1998
1 1 0 1 -5 0 3 3 1998
1 1 0 1 -4 2 12 10 1998
1 1 0 1 -3 8 21 13 1998
1 1 0 1 -2 25 56 31 1998
1 1 0 1 -1 67 119 52 1998
1 1 0 1 0 322 528 206 1998
1 1 0 1 1 19 27 8 1998
1 1 0 1 2 6 7 1 1998
1 1 0 1 3 1 3 2 1998
1 1 0 1 4 1 1 0 1998
1 1 0 10 -5 0 3 3 1998
1 1 0 10 -4 0 5 5 1998
1 1 0 10 -3 1 5 4 1998
1 1 0 10 -2 7 15 8 1998
1 1 0 10 -1 18 36 18 1998
1 1 0 10 0 92 144 52 1998
1 1 0 10 1 12 17 5 1998
1 1 0 10 2 11 13 2 1998
1 1 0 10 3 2 3 1 1998
1 1 0 10 4 2 4 2 1998
1 1 0 10 5 2 2 0 1998
1 1 0 11 -5 0 1 1 1998
1 1 0 11 -4 0 3 3 1998
1 1 0 11 -3 2 5 3 1998
1 1 0 11 -2 4 13 9 1998
1 1 0 11 -1 20 35 15 1998
1 1 0 11 0 80 112 32 1998
1 1 0 11 1 10 12 2 1998
1 1 0 11 2 5 6 1 1998
1 1 0 11 4 0 1 1 1998
1 1 0 11 5 1 1 0 1998
1 1 0 11 6 1 1 0 1998
1 1 0 100 -3 0 1 1 1998
1 1 0 100 -2 1 3 2 1998
1 1 0 100 -1 4 8 4 1998
1 1 0 100 0 19 24 5 1998
1 1 0 100 1 6 12 6 1998
1 1 0 100 2 4 5 1 1998
1 1 0 101 -9 0 1 1 1998
1 1 0 101 -8 0 1 1 1998
1 1 0 101 -4 2 3 1 1998
1 1 0 101 -3 1 3 2 1998
1 1 0 101 -2 2 2 0 1998
1 1 0 101 -1 7 10 3 1998
1 1 0 101 0 28 41 13 1998
1 1 0 101 1 10 13 3 1998
1 1 0 101 2 3 3 0 1998
1 1 0 101 5 1 1 0 1998
1 1 0 110 -5 0 1 1 1998
1 1 0 110 -4 1 1 0 1998
1 1 0 110 -3 2 4 2 1998
1 1 0 110 -2 2 2 0 1998
1 1 0 110 -1 1 3 2 1998
1 1 0 110 0 20 28 8 1998
1 1 0 110 1 4 4 0 1998
1 1 0 110 2 2 3 1 1998
1 1 0 110 3 1 2 1 1998
1 1 0 111 -4 0 1 1 1998
1 1 0 111 -2 2 4 2 1998
1 1 0 111 -1 3 5 2 1998
1 1 0 111 0 24 31 7 1998
1 1 0 111 1 6 6 0 1998
1 1 0 111 2 4 5 1 1998
1 1 0 111 3 2 3 1 1998
1 1 0 111 4 0 1 1 1998
1 1 0 111 5 0 1 1 1998
1 1 1 0 -7 0 1 1 1998
1 1 1 0 -6 0 4 4 1998
1 1 1 0 -5 1 6 5 1998
1 1 1 0 -4 4 21 17 1998
1 1 1 0 -3 21 55 34 1998
1 1 1 0 -2 41 130 89 1998
1 1 1 0 -1 113 252 139 1998
1 1 1 0 0 639 1126 487 1998
1 1 1 0 1 30 47 17 1998
1 1 1 0 2 36 46 10 1998
1 1 1 0 3 12 16 4 1998
1 1 1 0 4 6 8 2 1998
1 1 1 0 5 3 3 0 1998
1 1 1 0 6 0 1 1 1998
1 1 1 0 7 1 1 0 1998
1 1 1 1 -6 0 4 4 1998
1 1 1 1 -5 1 4 3 1998
1 1 1 1 -4 1 8 7 1998
1 1 1 1 -3 7 20 13 1998
1 1 1 1 -2 23 66 43 1998
1 1 1 1 -1 58 122 64 1998
1 1 1 1 0 284 498 214 1998
1 1 1 1 1 31 52 21 1998
1 1 1 1 2 14 16 2 1998
1 1 1 1 3 10 13 3 1998
1 1 1 1 4 5 6 1 1998
1 1 1 1 5 2 2 0 1998
1 1 1 1 6 1 1 0 1998
1 1 1 10 -5 1 3 2 1998
1 1 1 10 -4 0 5 5 1998
1 1 1 10 -3 2 10 8 1998
1 1 1 10 -2 12 32 20 1998
1 1 1 10 -1 24 56 32 1998
1 1 1 10 0 149 242 93 1998
1 1 1 10 1 30 43 13 1998
1 1 1 10 2 17 21 4 1998
1 1 1 10 3 5 9 4 1998
1 1 1 10 4 2 3 1 1998
1 1 1 10 5 2 3 1 1998
1 1 1 10 7 1 1 0 1998
1 1 1 11 -6 0 1 1 1998
1 1 1 11 -4 0 2 2 1998
1 1 1 11 -3 3 12 9 1998
1 1 1 11 -2 10 23 13 1998
1 1 1 11 -1 22 44 22 1998
1 1 1 11 0 93 151 58 1998
1 1 1 11 1 35 56 21 1998
1 1 1 11 2 16 21 5 1998
1 1 1 11 3 9 11 2 1998
1 1 1 11 4 3 7 4 1998
1 1 1 11 5 2 3 1 1998
1 1 1 11 6 1 1 0 1998
1 1 1 11 7 1 1 0 1998
1 1 1 100 -5 0 1 1 1998
1 1 1 100 -4 0 2 2 1998
1 1 1 100 -3 1 3 2 1998
1 1 1 100 -2 6 8 2 1998
1 1 1 100 -1 6 17 11 1998
1 1 1 100 0 36 65 29 1998
1 1 1 100 1 10 17 7 1998
1 1 1 100 2 11 12 1 1998
1 1 1 100 3 2 2 0 1998
1 1 1 100 4 2 2 0 1998
1 1 1 100 5 1 1 0 1998
1 1 1 101 -4 0 2 2 1998
1 1 1 101 -3 1 3 2 1998
1 1 1 101 -2 1 6 5 1998
1 1 1 101 -1 16 28 12 1998
1 1 1 101 0 62 89 27 1998
1 1 1 101 1 20 29 9 1998
1 1 1 101 2 6 11 5 1998
1 1 1 101 3 1 1 0 1998
1 1 1 101 4 2 3 1 1998
1 1 1 101 5 1 1 0 1998
1 1 1 101 9 1 1 0 1998
1 1 1 110 -5 0 1 1 1998
1 1 1 110 -4 0 1 1 1998
1 1 1 110 -3 0 2 2 1998
1 1 1 110 -2 2 8 6 1998
1 1 1 110 -1 10 14 4 1998
1 1 1 110 0 26 39 13 1998
1 1 1 110 1 8 14 6 1998
1 1 1 110 2 8 8 0 1998
1 1 1 110 3 5 6 1 1998
1 1 1 110 4 1 1 0 1998
1 1 1 111 -6 0 1 1 1998
1 1 1 111 -4 0 1 1 1998
1 1 1 111 -3 2 3 1 1998
1 1 1 111 -2 3 6 3 1998
1 1 1 111 -1 9 14 5 1998
1 1 1 111 0 34 50 16 1998
1 1 1 111 1 17 21 4 1998
1 1 1 111 2 12 15 3 1998
1 1 1 111 3 4 4 0 1998
1 1 1 111 5 0 1 1 1998
1 1 1 111 6 1 2 1 1998
1 1 1 111 7 1 1 0 1998
1 1 2 0 -7 0 1 1 1998
1 1 2 0 -6 0 1 1 1998
