INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -4 0 2 2 1982
1 0 0 0 -3 0 6 6 1982
1 0 0 0 -2 1 7 6 1982
1 0 0 0 -1 9 26 17 1982
1 0 0 0 0 934 2108 1174 1982
1 0 0 1 -4 0 2 2 1982
1 0 0 1 -3 0 3 3 1982
1 0 0 1 -2 1 7 6 1982
1 0 0 1 -1 6 18 12 1982
1 0 0 1 0 216 539 323 1982
1 0 0 10 -3 0 1 1 1982
1 0 0 10 -2 2 6 4 1982
1 0 0 10 -1 6 22 16 1982
1 0 0 10 0 76 196 120 1982
1 0 0 11 -4 0 1 1 1982
1 0 0 11 -2 0 5 5 1982
1 0 0 11 -1 5 12 7 1982
1 0 0 11 0 33 98 65 1982
1 0 0 100 -2 1 2 1 1982
1 0 0 100 -1 3 7 4 1982
1 0 0 100 0 15 45 30 1982
1 0 0 101 -3 0 1 1 1982
1 0 0 101 -2 0 2 2 1982
1 0 0 101 -1 1 8 7 1982
1 0 0 101 0 20 53 33 1982
1 0 0 110 -3 0 1 1 1982
1 0 0 110 -1 3 8 5 1982
1 0 0 110 0 6 22 16 1982
1 0 0 111 -2 0 1 1 1982
1 0 0 111 -1 2 8 6 1982
1 0 0 111 0 8 20 12 1982
1 0 1 0 -5 0 3 3 1982
1 0 1 0 -4 0 6 6 1982
1 0 1 0 -3 5 21 16 1982
1 0 1 0 -2 11 32 21 1982
1 0 1 0 -1 17 51 34 1982
1 0 1 0 0 699 1499 800 1982
1 0 1 1 -5 0 2 2 1982
1 0 1 1 -4 0 4 4 1982
1 0 1 1 -3 4 12 8 1982
1 0 1 1 -2 4 18 14 1982
1 0 1 1 -1 19 57 38 1982
1 0 1 1 0 207 499 292 1982
1 0 1 10 -4 0 1 1 1982
1 0 1 10 -3 0 4 4 1982
1 0 1 10 -2 4 12 8 1982
1 0 1 10 -1 20 52 32 1982
1 0 1 10 0 96 259 163 1982
1 0 1 11 -5 0 2 2 1982
1 0 1 11 -4 0 4 4 1982
1 0 1 11 -3 0 3 3 1982
1 0 1 11 -2 2 18 16 1982
1 0 1 11 -1 17 42 25 1982
1 0 1 11 0 51 140 89 1982
1 0 1 100 -4 0 1 1 1982
1 0 1 100 -3 1 3 2 1982
1 0 1 100 -2 4 10 6 1982
1 0 1 100 -1 4 20 16 1982
1 0 1 100 0 45 112 67 1982
1 0 1 101 -4 0 2 2 1982
1 0 1 101 -3 1 4 3 1982
1 0 1 101 -2 0 5 5 1982
1 0 1 101 -1 5 23 18 1982
1 0 1 101 0 25 80 55 1982
1 0 1 110 -4 0 1 1 1982
1 0 1 110 -3 0 3 3 1982
1 0 1 110 -2 0 1 1 1982
1 0 1 110 -1 8 17 9 1982
1 0 1 110 0 12 37 25 1982
1 0 1 111 -5 0 2 2 1982
1 0 1 111 -3 1 4 3 1982
1 0 1 111 -2 3 9 6 1982
1 0 1 111 -1 6 17 11 1982
1 0 1 111 0 10 33 23 1982
1 0 2 0 -11 0 1 1 1982
1 0 2 0 -6 0 2 2 1982
