INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -4 0 1 1 1942
1 0 0 0 -2 0 1 1 1942
1 0 0 0 -1 1 4 3 1942
1 0 0 0 0 186 465 279 1942
1 0 0 1 -2 0 1 1 1942
1 0 0 1 -1 2 4 2 1942
1 0 0 1 0 53 145 92 1942
1 0 0 10 -3 0 2 2 1942
1 0 0 10 -2 0 3 3 1942
1 0 0 10 -1 3 5 2 1942
1 0 0 10 0 7 23 16 1942
1 0 0 11 -2 0 1 1 1942
1 0 0 11 -1 1 3 2 1942
1 0 0 11 0 16 41 25 1942
1 0 0 100 -2 0 1 1 1942
1 0 0 100 -1 1 2 1 1942
1 0 0 100 0 3 5 2 1942
1 0 0 101 -1 0 3 3 1942
1 0 0 101 0 5 12 7 1942
1 0 0 110 -5 0 1 1 1942
1 0 0 110 -2 0 2 2 1942
1 0 0 110 -1 0 1 1 1942
1 0 0 110 0 2 6 4 1942
1 0 0 111 -3 0 1 1 1942
1 0 0 111 -2 0 2 2 1942
1 0 0 111 -1 0 2 2 1942
1 0 0 111 0 0 7 7 1942
1 0 1 0 -4 0 1 1 1942
1 0 1 0 -3 0 1 1 1942
1 0 1 0 -2 3 5 2 1942
1 0 1 0 -1 4 8 4 1942
1 0 1 0 0 127 300 173 1942
1 0 1 1 -3 1 3 2 1942
1 0 1 1 -2 0 1 1 1942
1 0 1 1 -1 1 10 9 1942
1 0 1 1 0 49 134 85 1942
1 0 1 10 -2 0 2 2 1942
1 0 1 10 -1 1 6 5 1942
1 0 1 10 0 12 35 23 1942
1 0 1 11 -3 0 4 4 1942
1 0 1 11 -2 0 4 4 1942
1 0 1 11 -1 1 9 8 1942
1 0 1 11 0 19 44 25 1942
1 0 1 100 -4 0 1 1 1942
1 0 1 100 -3 0 4 4 1942
1 0 1 100 -2 0 3 3 1942
1 0 1 100 -1 3 5 2 1942
1 0 1 100 0 2 12 10 1942
1 0 1 101 -3 0 1 1 1942
1 0 1 101 -2 0 3 3 1942
1 0 1 101 -1 3 5 2 1942
1 0 1 101 0 5 15 10 1942
1 0 1 110 -5 0 1 1 1942
1 0 1 110 -4 0 1 1 1942
1 0 1 110 -2 0 2 2 1942
1 0 1 110 -1 1 4 3 1942
1 0 1 110 0 10 16 6 1942
1 0 1 111 -2 0 2 2 1942
1 0 1 111 -1 0 4 4 1942
1 0 1 111 0 8 20 12 1942
1 0 2 0 -5 0 1 1 1942
1 0 2 0 -4 0 1 1 1942
1 0 2 0 -3 0 3 3 1942
1 0 2 0 -2 4 10 6 1942
1 0 2 0 -1 8 20 12 1942
1 0 2 0 0 98 223 125 1942
1 0 2 1 -5 0 1 1 1942
1 0 2 1 -3 1 6 5 1942
1 0 2 1 -2 3 14 11 1942
1 0 2 1 -1 5 21 16 1942
1 0 2 1 0 45 107 62 1942
1 0 2 10 -7 0 1 1 1942
1 0 2 10 -6 0 1 1 1942
1 0 2 10 -4 0 1 1 1942
1 0 2 10 -3 0 1 1 1942
1 0 2 10 -2 1 3 2 1942
1 0 2 10 -1 6 16 10 1942
1 0 2 10 0 19 51 32 1942
1 0 2 11 -7 0 1 1 1942
1 0 2 11 -6 0 1 1 1942
1 0 2 11 -5 0 2 2 1942
1 0 2 11 -4 0 2 2 1942
1 0 2 11 -3 0 9 9 1942
1 0 2 11 -2 1 7 6 1942
1 0 2 11 -1 3 12 9 1942
1 0 2 11 0 26 50 24 1942
1 0 2 100 -3 0 3 3 1942
1 0 2 100 -2 0 3 3 1942
1 0 2 100 -1 2 4 2 1942
1 0 2 100 0 4 11 7 1942
1 0 2 101 -4 0 1 1 1942
1 0 2 101 -3 0 3 3 1942
1 0 2 101 -2 0 1 1 1942
1 0 2 101 -1 4 8 4 1942
1 0 2 101 0 3 9 6 1942
1 0 2 110 -4 0 1 1 1942
1 0 2 110 -3 0 1 1 1942
1 0 2 110 -2 0 1 1 1942
1 0 2 110 -1 1 4 3 1942
1 0 2 110 0 3 7 4 1942
1 0 2 111 -4 0 1 1 1942
1 0 2 111 -3 0 1 1 1942
1 0 2 111 -2 0 1 1 1942
1 0 2 111 -1 2 3 1 1942
1 0 2 111 0 11 19 8 1942
1 1 0 0 -7 0 1 1 1942
1 1 0 0 -6 0 1 1 1942
1 1 0 0 -5 0 2 2 1942
1 1 0 0 -4 0 5 5 1942
1 1 0 0 -3 1 17 16 1942
1 1 0 0 -2 6 24 18 1942
1 1 0 0 -1 24 68 44 1942
1 1 0 0 0 155 348 193 1942
1 1 0 0 1 0 1 1 1942
1 1 0 0 2 1 1 0 1942
1 1 0 1 -7 0 1 1 1942
1 1 0 1 -5 0 1 1 1942
1 1 0 1 -3 1 8 7 1942
1 1 0 1 -2 2 10 8 1942
1 1 0 1 -1 7 14 7 1942
1 1 0 1 0 55 106 51 1942
1 1 0 1 1 1 3 2 1942
1 1 0 1 2 1 2 1 1942
1 1 0 10 -2 0 1 1 1942
1 1 0 10 -1 1 3 2 1942
1 1 0 10 0 9 15 6 1942
1 1 0 10 1 3 5 2 1942
1 1 0 10 3 1 1 0 1942
1 1 0 10 4 1 1 0 1942
1 1 0 11 -3 1 4 3 1942
