INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -6 0 1 1 1997
1 0 0 0 -4 1 4 3 1997
1 0 0 0 -3 3 6 3 1997
1 0 0 0 -2 2 13 11 1997
1 0 0 0 -1 14 35 21 1997
1 0 0 0 0 1159 2185 1026 1997
1 0 0 1 -4 0 1 1 1997
1 0 0 1 -3 2 2 0 1997
1 0 0 1 -2 3 11 8 1997
1 0 0 1 -1 10 20 10 1997
1 0 0 1 0 260 540 280 1997
1 0 0 10 -4 0 3 3 1997
1 0 0 10 -3 1 1 0 1997
1 0 0 10 -2 4 8 4 1997
1 0 0 10 -1 7 20 13 1997
1 0 0 10 0 77 170 93 1997
1 0 0 11 -4 0 1 1 1997
1 0 0 11 -3 0 1 1 1997
1 0 0 11 -2 1 4 3 1997
1 0 0 11 -1 5 27 22 1997
1 0 0 11 0 44 105 61 1997
1 0 0 100 -3 0 1 1 1997
1 0 0 100 -1 4 6 2 1997
1 0 0 100 0 18 40 22 1997
1 0 0 101 -3 1 2 1 1997
1 0 0 101 -2 2 7 5 1997
1 0 0 101 -1 4 12 8 1997
1 0 0 101 0 13 50 37 1997
1 0 0 110 -4 1 1 0 1997
1 0 0 110 -3 1 2 1 1997
1 0 0 110 -2 0 2 2 1997
1 0 0 110 -1 0 4 4 1997
1 0 0 110 0 7 23 16 1997
1 0 0 111 -4 0 1 1 1997
1 0 0 111 -2 0 1 1 1997
1 0 0 111 -1 1 4 3 1997
1 0 0 111 0 8 16 8 1997
1 0 1 0 -7 0 1 1 1997
1 0 1 0 -6 0 2 2 1997
1 0 1 0 -5 1 2 1 1997
1 0 1 0 -4 2 12 10 1997
1 0 1 0 -3 4 14 10 1997
1 0 1 0 -2 11 41 30 1997
1 0 1 0 -1 36 85 49 1997
1 0 1 0 0 847 1526 679 1997
1 0 1 1 -6 0 3 3 1997
1 0 1 1 -5 0 3 3 1997
1 0 1 1 -4 0 7 7 1997
1 0 1 1 -3 3 11 8 1997
1 0 1 1 -2 7 26 19 1997
1 0 1 1 -1 29 79 50 1997
1 0 1 1 0 290 536 246 1997
1 0 1 10 -4 0 4 4 1997
1 0 1 10 -3 2 10 8 1997
1 0 1 10 -2 6 21 15 1997
1 0 1 10 -1 30 61 31 1997
1 0 1 10 0 140 272 132 1997
1 0 1 11 -4 0 3 3 1997
1 0 1 11 -3 2 9 7 1997
1 0 1 11 -2 6 16 10 1997
1 0 1 11 -1 16 51 35 1997
1 0 1 11 0 69 164 95 1997
