INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -6 0 1 1 1983
1 0 0 0 -5 0 3 3 1983
1 0 0 0 -4 1 2 1 1983
1 0 0 0 -3 1 8 7 1983
1 0 0 0 -2 1 8 7 1983
1 0 0 0 -1 14 29 15 1983
1 0 0 0 0 1132 2109 977 1983
1 0 0 1 -5 0 1 1 1983
1 0 0 1 -3 1 4 3 1983
1 0 0 1 -2 1 6 5 1983
1 0 0 1 -1 9 27 18 1983
1 0 0 1 0 275 578 303 1983
1 0 0 10 -3 0 3 3 1983
1 0 0 10 -2 1 6 5 1983
1 0 0 10 -1 5 25 20 1983
1 0 0 10 0 108 228 120 1983
1 0 0 11 -3 0 3 3 1983
1 0 0 11 -2 1 5 4 1983
1 0 0 11 -1 4 24 20 1983
1 0 0 11 0 37 100 63 1983
1 0 0 100 -3 0 1 1 1983
1 0 0 100 -2 0 1 1 1983
1 0 0 100 -1 1 8 7 1983
1 0 0 100 0 14 45 31 1983
1 0 0 101 -2 0 2 2 1983
1 0 0 101 -1 6 12 6 1983
1 0 0 101 0 26 64 38 1983
1 0 0 110 -3 0 1 1 1983
1 0 0 110 -2 0 1 1 1983
1 0 0 110 -1 1 5 4 1983
1 0 0 110 0 8 24 16 1983
1 0 0 111 -3 0 1 1 1983
1 0 0 111 -2 0 3 3 1983
1 0 0 111 -1 2 8 6 1983
1 0 0 111 0 9 22 13 1983
1 0 1 0 -7 0 1 1 1983
1 0 1 0 -6 0 1 1 1983
1 0 1 0 -5 2 8 6 1983
1 0 1 0 -4 4 10 6 1983
1 0 1 0 -3 3 15 12 1983
1 0 1 0 -2 8 33 25 1983
1 0 1 0 -1 29 63 34 1983
1 0 1 0 0 828 1456 628 1983
1 0 1 1 -6 0 1 1 1983
1 0 1 1 -5 1 5 4 1983
1 0 1 1 -4 0 3 3 1983
1 0 1 1 -3 0 8 8 1983
1 0 1 1 -2 8 23 15 1983
1 0 1 1 -1 31 62 31 1983
1 0 1 1 0 263 501 238 1983
1 0 1 10 -5 0 3 3 1983
1 0 1 10 -4 0 3 3 1983
1 0 1 10 -3 0 5 5 1983
1 0 1 10 -2 4 18 14 1983
1 0 1 10 -1 22 48 26 1983
1 0 1 10 0 138 263 125 1983
1 0 1 11 -5 0 3 3 1983
1 0 1 11 -4 0 1 1 1983
1 0 1 11 -3 1 6 5 1983
1 0 1 11 -2 4 16 12 1983
1 0 1 11 -1 14 43 29 1983
1 0 1 11 0 57 131 74 1983
1 0 1 100 -4 0 3 3 1983
1 0 1 100 -3 1 4 3 1983
1 0 1 100 -2 2 6 4 1983
1 0 1 100 -1 4 22 18 1983
1 0 1 100 0 52 106 54 1983
1 0 1 101 -4 0 3 3 1983
1 0 1 101 -3 0 5 5 1983
1 0 1 101 -2 6 13 7 1983
1 0 1 101 -1 9 24 15 1983
1 0 1 101 0 23 54 31 1983
1 0 1 110 -4 0 1 1 1983
1 0 1 110 -3 0 2 2 1983
1 0 1 110 -2 2 4 2 1983
1 0 1 110 -1 3 16 13 1983
1 0 1 110 0 13 40 27 1983
1 0 1 111 -5 0 1 1 1983
1 0 1 111 -4 0 1 1 1983
1 0 1 111 -3 0 3 3 1983
1 0 1 111 -2 1 6 5 1983
1 0 1 111 -1 5 16 11 1983
1 0 1 111 0 13 32 19 1983
1 0 2 0 -7 0 1 1 1983
1 0 2 0 -6 0 1 1 1983
1 0 2 0 -5 1 5 4 1983
1 0 2 0 -4 5 16 11 1983
1 0 2 0 -3 8 25 17 1983
1 0 2 0 -2 23 68 45 1983
1 0 2 0 -1 68 139 71 1983
1 0 2 0 0 636 1078 442 1983
1 0 2 1 -9 0 1 1 1983
1 0 2 1 -6 0 1 1 1983
1 0 2 1 -5 1 3 2 1983
1 0 2 1 -4 2 8 6 1983
1 0 2 1 -3 4 18 14 1983
1 0 2 1 -2 11 47 36 1983
1 0 2 1 -1 42 97 55 1983
1 0 2 1 0 272 465 193 1983
1 0 2 10 -8 0 1 1 1983
1 0 2 10 -5 0 2 2 1983
1 0 2 10 -4 0 4 4 1983
1 0 2 10 -3 2 13 11 1983
1 0 2 10 -2 7 30 23 1983
1 0 2 10 -1 38 83 45 1983
1 0 2 10 0 143 246 103 1983
1 0 2 11 -6 0 1 1 1983
1 0 2 11 -5 1 1 0 1983
1 0 2 11 -4 0 2 2 1983
1 0 2 11 -3 2 11 9 1983
1 0 2 11 -2 12 31 19 1983
1 0 2 11 -1 32 80 48 1983
1 0 2 11 0 88 160 72 1983
1 0 2 100 -5 0 1 1 1983
1 0 2 100 -4 1 2 1 1983
1 0 2 100 -3 3 10 7 1983
1 0 2 100 -2 7 13 6 1983
1 0 2 100 -1 13 30 17 1983
1 0 2 100 0 60 114 54 1983
1 0 2 101 -4 0 2 2 1983
1 0 2 101 -3 5 9 4 1983
1 0 2 101 -2 7 16 9 1983
1 0 2 101 -1 10 29 19 1983
1 0 2 101 0 38 78 40 1983
1 0 2 110 -6 0 1 1 1983
1 0 2 110 -5 0 1 1 1983
1 0 2 110 -4 0 1 1 1983
1 0 2 110 -3 0 3 3 1983
1 0 2 110 -2 5 9 4 1983
1 0 2 110 -1 1 17 16 1983
1 0 2 110 0 20 32 12 1983
1 0 2 111 -5 0 2 2 1983
1 0 2 111 -4 0 3 3 1983
1 0 2 111 -3 0 7 7 1983
1 0 2 111 -2 2 8 6 1983
1 0 2 111 -1 6 21 15 1983
1 0 2 111 0 21 36 15 1983
1 1 0 0 -9 0 1 1 1983
1 1 0 0 -7 0 1 1 1983
1 1 0 0 -6 0 4 4 1983
1 1 0 0 -5 2 13 11 1983
1 1 0 0 -4 6 31 25 1983
1 1 0 0 -3 19 68 49 1983
1 1 0 0 -2 61 162 101 1983
1 1 0 0 -1 154 347 193 1983
1 1 0 0 0 895 1494 599 1983
1 1 0 0 1 14 21 7 1983
1 1 0 0 2 4 4 0 1983
1 1 0 0 3 6 6 0 1983
1 1 0 0 4 4 4 0 1983
1 1 0 0 5 1 1 0 1983
1 1 0 1 -5 0 4 4 1983
1 1 0 1 -4 2 9 7 1983
1 1 0 1 -3 9 28 19 1983
1 1 0 1 -2 22 50 28 1983
1 1 0 1 -1 56 105 49 1983
1 1 0 1 0 273 426 153 1983
1 1 0 1 1 15 19 4 1983
1 1 0 1 2 3 3 0 1983
1 1 0 1 3 1 1 0 1983
1 1 0 1 4 2 2 0 1983
1 1 0 10 -5 0 6 6 1983
1 1 0 10 -4 0 3 3 1983
1 1 0 10 -3 4 10 6 1983
1 1 0 10 -2 11 23 12 1983
1 1 0 10 -1 27 50 23 1983
1 1 0 10 0 120 188 68 1983
1 1 0 10 1 24 27 3 1983
1 1 0 10 2 1 1 0 1983
1 1 0 10 3 2 2 0 1983
1 1 0 11 -5 0 1 1 1983
1 1 0 11 -4 0 1 1 1983
1 1 0 11 -3 1 5 4 1983
1 1 0 11 -2 8 14 6 1983
1 1 0 11 -1 15 22 7 1983
1 1 0 11 0 52 79 27 1983
1 1 0 11 1 12 18 6 1983
1 1 0 11 2 2 3 1 1983
1 1 0 11 3 1 1 0 1983
1 1 0 100 -2 3 6 3 1983
1 1 0 100 -1 4 8 4 1983
1 1 0 100 0 24 37 13 1983
1 1 0 100 1 5 5 0 1983
1 1 0 100 2 2 2 0 1983
1 1 0 101 -3 0 2 2 1983
1 1 0 101 -2 1 4 3 1983
