INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_WINS GAMES HOME_LOSES year
1 0 0 0 -5 0 1 1 1996
1 0 0 0 -4 1 4 3 1996
1 0 0 0 -3 4 12 8 1996
1 0 0 0 -2 6 16 10 1996
1 0 0 0 -1 29 52 23 1996
1 0 0 0 0 1219 2267 1048 1996
1 0 0 1 -5 0 1 1 1996
1 0 0 1 -4 0 2 2 1996
1 0 0 1 -3 2 5 3 1996
1 0 0 1 -2 5 11 6 1996
1 0 0 1 -1 6 24 18 1996
1 0 0 1 0 295 603 308 1996
1 0 0 10 -4 1 1 0 1996
1 0 0 10 -3 1 2 1 1996
1 0 0 10 -2 3 11 8 1996
1 0 0 10 -1 12 28 16 1996
1 0 0 10 0 84 183 99 1996
1 0 0 11 -5 0 1 1 1996
1 0 0 11 -4 0 1 1 1996
1 0 0 11 -3 1 3 2 1996
1 0 0 11 -2 0 7 7 1996
1 0 0 11 -1 5 19 14 1996
1 0 0 11 0 54 126 72 1996
1 0 0 100 -4 1 2 1 1996
1 0 0 100 -2 1 3 2 1996
1 0 0 100 -1 2 8 6 1996
1 0 0 100 0 15 25 10 1996
1 0 0 101 -4 0 2 2 1996
1 0 0 101 -2 2 4 2 1996
1 0 0 101 -1 9 21 12 1996
1 0 0 101 0 31 66 35 1996
1 0 0 110 -3 0 1 1 1996
1 0 0 110 -2 0 1 1 1996
1 0 0 110 -1 2 12 10 1996
1 0 0 110 0 10 31 21 1996
1 0 0 111 -3 0 1 1 1996
1 0 0 111 -2 0 4 4 1996
1 0 0 111 -1 2 10 8 1996
1 0 0 111 0 5 21 16 1996
1 0 1 0 -6 0 3 3 1996
1 0 1 0 -5 1 4 3 1996
1 0 1 0 -4 2 6 4 1996
1 0 1 0 -3 10 34 24 1996
1 0 1 0 -2 10 36 26 1996
1 0 1 0 -1 41 70 29 1996
1 0 1 0 0 849 1519 670 1996
1 0 1 1 -6 0 1 1 1996
1 0 1 1 -5 0 1 1 1996
1 0 1 1 -4 0 4 4 1996
1 0 1 1 -3 3 11 8 1996
1 0 1 1 -2 9 30 21 1996
1 0 1 1 -1 35 80 45 1996
1 0 1 1 0 321 571 250 1996
1 0 1 10 -4 1 4 3 1996
1 0 1 10 -3 3 9 6 1996
1 0 1 10 -2 9 27 18 1996
1 0 1 10 -1 24 48 24 1996
1 0 1 10 0 141 277 136 1996
1 0 1 11 -5 0 1 1 1996
1 0 1 11 -4 0 2 2 1996
1 0 1 11 -3 3 11 8 1996
1 0 1 11 -2 9 28 19 1996
1 0 1 11 -1 27 52 25 1996
1 0 1 11 0 107 192 85 1996
1 0 1 100 -4 1 2 1 1996
1 0 1 100 -3 0 1 1 1996
1 0 1 100 -2 3 13 10 1996
1 0 1 100 -1 8 25 17 1996
1 0 1 100 0 38 83 45 1996
1 0 1 101 -4 1 3 2 1996
1 0 1 101 -3 2 2 0 1996
1 0 1 101 -2 2 11 9 1996
1 0 1 101 -1 16 35 19 1996
1 0 1 101 0 48 88 40 1996
1 0 1 110 -5 1 1 0 1996
1 0 1 110 -3 3 6 3 1996
1 0 1 110 -2 1 8 7 1996
1 0 1 110 -1 8 18 10 1996
1 0 1 110 0 13 36 23 1996
1 0 1 111 -4 1 1 0 1996
1 0 1 111 -3 3 4 1 1996
1 0 1 111 -2 0 9 9 1996
1 0 1 111 -1 11 27 16 1996
1 0 1 111 0 22 52 30 1996
1 0 2 0 -7 0 1 1 1996
1 0 2 0 -6 0 3 3 1996
1 0 2 0 -5 1 6 5 1996
1 0 2 0 -4 3 14 11 1996
1 0 2 0 -3 18 52 34 1996
1 0 2 0 -2 28 77 49 1996
1 0 2 0 -1 61 116 55 1996
1 0 2 0 0 635 1099 464 1996
1 0 2 1 -7 0 1 1 1996
1 0 2 1 -6 0 3 3 1996
1 0 2 1 -5 2 7 5 1996
1 0 2 1 -4 2 12 10 1996
1 0 2 1 -3 8 23 15 1996
1 0 2 1 -2 17 44 27 1996
1 0 2 1 -1 59 108 49 1996
1 0 2 1 0 278 495 217 1996
1 0 2 10 -6 0 1 1 1996
1 0 2 10 -5 0 4 4 1996
1 0 2 10 -4 3 8 5 1996
1 0 2 10 -3 2 13 11 1996
1 0 2 10 -2 20 37 17 1996
1 0 2 10 -1 34 72 38 1996
1 0 2 10 0 159 260 101 1996
1 0 2 11 -6 0 1 1 1996
1 0 2 11 -5 1 4 3 1996
1 0 2 11 -4 3 7 4 1996
1 0 2 11 -3 3 13 10 1996
1 0 2 11 -2 12 34 22 1996
1 0 2 11 -1 39 65 26 1996
1 0 2 11 0 109 162 53 1996
1 0 2 100 -5 0 2 2 1996
1 0 2 100 -4 1 4 3 1996
1 0 2 100 -3 1 7 6 1996
1 0 2 100 -2 8 22 14 1996
1 0 2 100 -1 14 28 14 1996
1 0 2 100 0 63 116 53 1996
1 0 2 101 -6 0 1 1 1996
1 0 2 101 -5 1 2 1 1996
1 0 2 101 -4 3 9 6 1996
1 0 2 101 -3 6 15 9 1996
1 0 2 101 -2 11 25 14 1996
1 0 2 101 -1 19 41 22 1996
1 0 2 101 0 58 94 36 1996
1 0 2 110 -5 2 3 1 1996
1 0 2 110 -4 0 2 2 1996
1 0 2 110 -3 5 8 3 1996
1 0 2 110 -2 4 14 10 1996
1 0 2 110 -1 13 22 9 1996
1 0 2 110 0 14 35 21 1996
1 0 2 111 -5 1 2 1 1996
1 0 2 111 -3 4 5 1 1996
1 0 2 111 -2 4 14 10 1996
1 0 2 111 -1 14 26 12 1996
1 0 2 111 0 27 57 30 1996
1 1 0 0 -7 0 2 2 1996
1 1 0 0 -6 0 6 6 1996
1 1 0 0 -5 6 20 14 1996
1 1 0 0 -4 8 40 32 1996
1 1 0 0 -3 35 104 69 1996
1 1 0 0 -2 67 181 114 1996
1 1 0 0 -1 193 356 163 1996
1 1 0 0 0 921 1579 658 1996
1 1 0 0 1 24 29 5 1996
1 1 0 0 2 11 13 2 1996
1 1 0 0 3 8 8 0 1996
1 1 0 0 4 8 8 0 1996
1 1 0 1 -5 3 6 3 1996
1 1 0 1 -4 6 15 9 1996
1 1 0 1 -3 12 37 25 1996
1 1 0 1 -2 23 54 31 1996
1 1 0 1 -1 68 121 53 1996
1 1 0 1 0 284 456 172 1996
1 1 0 1 1 13 15 2 1996
1 1 0 1 2 7 7 0 1996
1 1 0 1 3 3 3 0 1996
1 1 0 10 -4 1 3 2 1996
1 1 0 10 -3 8 12 4 1996
1 1 0 10 -2 12 21 9 1996
1 1 0 10 -1 19 36 17 1996
1 1 0 10 0 109 156 47 1996
1 1 0 10 1 10 15 5 1996
1 1 0 10 2 9 9 0 1996
1 1 0 10 3 2 3 1 1996
1 1 0 10 4 3 3 0 1996
1 1 0 11 -5 1 1 0 1996
1 1 0 11 -4 2 5 3 1996
1 1 0 11 -3 4 9 5 1996
1 1 0 11 -2 3 10 7 1996
1 1 0 11 -1 21 38 17 1996
1 1 0 11 0 77 104 27 1996
1 1 0 11 1 14 18 4 1996
1 1 0 11 2 13 14 1 1996
1 1 0 11 3 4 4 0 1996
1 1 0 11 4 1 1 0 1996
1 1 0 11 5 1 1 0 1996
1 1 0 100 -4 0 2 2 1996
1 1 0 100 -2 0 2 2 1996
1 1 0 100 -1 2 7 5 1996
1 1 0 100 0 26 32 6 1996
1 1 0 100 1 6 8 2 1996
1 1 0 100 2 2 3 1 1996
1 1 0 100 3 1 1 0 1996
1 1 0 101 -4 1 1 0 1996
1 1 0 101 -3 1 3 2 1996
1 1 0 101 -2 6 8 2 1996
1 1 0 101 -1 10 14 4 1996
1 1 0 101 0 40 57 17 1996
1 1 0 101 1 9 10 1 1996
1 1 0 101 2 3 4 1 1996
1 1 0 101 3 2 3 1 1996
1 1 0 101 6 1 1 0 1996
1 1 0 110 -5 1 1 0 1996
1 1 0 110 -3 1 1 0 1996
1 1 0 110 -2 2 2 0 1996
1 1 0 110 -1 3 6 3 1996
1 1 0 110 0 18 26 8 1996
1 1 0 110 1 8 10 2 1996
1 1 0 110 2 3 4 1 1996
1 1 0 110 3 2 2 0 1996
1 1 0 110 4 2 2 0 1996
1 1 0 111 -4 1 3 2 1996
1 1 0 111 -3 1 2 1 1996
1 1 0 111 -2 1 1 0 1996
1 1 0 111 -1 5 7 2 1996
1 1 0 111 0 21 30 9 1996
1 1 0 111 1 11 11 0 1996
1 1 0 111 2 5 6 1 1996
1 1 0 111 3 4 4 0 1996
1 1 0 111 4 2 2 0 1996
1 1 1 0 -7 0 2 2 1996
1 1 1 0 -6 0 6 6 1996
1 1 1 0 -5 3 13 10 1996
1 1 1 0 -4 2 21 19 1996
1 1 1 0 -3 17 57 40 1996
1 1 1 0 -2 45 126 81 1996
1 1 1 0 -1 116 222 106 1996
1 1 1 0 0 563 1046 483 1996
1 1 1 0 1 42 54 12 1996
1 1 1 0 2 28 36 8 1996
1 1 1 0 3 13 17 4 1996
1 1 1 0 4 20 20 0 1996
1 1 1 0 6 1 1 0 1996
1 1 1 0 7 1 1 0 1996
1 1 1 1 -7 0 1 1 1996
1 1 1 1 -6 0 2 2 1996
1 1 1 1 -5 1 5 4 1996
1 1 1 1 -4 5 15 10 1996
1 1 1 1 -3 14 37 23 1996
1 1 1 1 -2 18 55 37 1996
1 1 1 1 -1 55 106 51 1996
1 1 1 1 0 247 418 171 1996
1 1 1 1 1 48 61 13 1996
1 1 1 1 2 20 23 3 1996
1 1 1 1 3 5 5 0 1996
1 1 1 1 4 6 6 0 1996
1 1 1 1 6 1 1 0 1996
1 1 1 1 7 1 1 0 1996
1 1 1 10 -5 0 1 1 1996
1 1 1 10 -4 2 6 4 1996
1 1 1 10 -3 7 14 7 1996
