INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 1 1 0 5 1 1 0 1944
1 1 1 1 -7 0 1 1 1944
1 1 1 1 -5 0 2 2 1944
1 1 1 1 -4 2 6 4 1944
1 1 1 1 -3 1 6 5 1944
1 1 1 1 -2 5 13 8 1944
1 1 1 1 -1 6 20 14 1944
1 1 1 1 0 36 82 46 1944
1 1 1 1 1 4 9 5 1944
1 1 1 1 2 1 3 2 1944
1 1 1 1 3 1 1 0 1944
1 1 1 1 4 3 3 0 1944
1 1 1 10 -4 0 1 1 1944
1 1 1 10 -2 1 1 0 1944
1 1 1 10 -1 1 3 2 1944
1 1 1 10 0 20 32 12 1944
1 1 1 10 1 3 7 4 1944
1 1 1 10 2 2 3 1 1944
1 1 1 10 3 2 3 1 1944
1 1 1 11 -5 0 2 2 1944
1 1 1 11 -4 1 1 0 1944
1 1 1 11 -3 1 2 1 1944
1 1 1 11 -2 3 6 3 1944
1 1 1 11 -1 0 5 5 1944
1 1 1 11 0 19 31 12 1944
1 1 1 11 1 5 7 2 1944
1 1 1 11 2 3 4 1 1944
1 1 1 100 -1 2 3 1 1944
1 1 1 100 0 12 18 6 1944
1 1 1 100 1 4 7 3 1944
1 1 1 100 2 2 2 0 1944
1 1 1 100 3 1 2 1 1944
1 1 1 100 5 1 1 0 1944
1 1 1 101 -4 0 1 1 1944
1 1 1 101 -3 1 1 0 1944
1 1 1 101 -1 1 2 1 1944
1 1 1 101 0 8 13 5 1944
1 1 1 101 1 3 5 2 1944
1 1 1 101 3 0 1 1 1944
1 1 1 110 -2 1 1 0 1944
1 1 1 110 -1 2 2 0 1944
1 1 1 110 0 5 11 6 1944
1 1 1 110 1 2 3 1 1944
1 1 1 110 2 2 3 1 1944
1 1 1 111 -1 1 3 2 1944
1 1 1 111 0 10 15 5 1944
1 1 1 111 1 4 6 2 1944
1 1 1 111 2 1 3 2 1944
1 1 1 111 3 0 1 1 1944
1 1 1 111 4 1 1 0 1944
1 1 2 0 -5 0 2 2 1944
1 1 2 0 -4 1 3 2 1944
1 1 2 0 -3 3 8 5 1944
1 1 2 0 -2 5 18 13 1944
1 1 2 0 -1 10 31 21 1944
1 1 2 0 0 59 136 77 1944
1 1 2 0 1 4 8 4 1944
1 1 2 0 2 6 9 3 1944
1 1 2 0 3 4 4 0 1944
1 1 2 0 4 0 1 1 1944
1 1 2 0 5 1 1 0 1944
1 1 2 1 -7 0 1 1 1944
1 1 2 1 -5 0 1 1 1944
1 1 2 1 -4 1 2 1 1944
1 1 2 1 -3 2 9 7 1944
1 1 2 1 -2 7 14 7 1944
1 1 2 1 -1 5 18 13 1944
1 1 2 1 0 34 79 45 1944
1 1 2 1 1 9 18 9 1944
1 1 2 1 2 4 9 5 1944
1 1 2 1 3 4 4 0 1944
1 1 2 1 4 1 1 0 1944
1 1 2 10 -4 0 1 1 1944
1 1 2 10 -3 0 1 1 1944
1 1 2 10 -2 0 2 2 1944
1 1 2 10 -1 3 8 5 1944
1 1 2 10 0 12 30 18 1944
1 1 2 10 1 9 16 7 1944
1 1 2 10 2 4 7 3 1944
1 1 2 10 3 2 2 0 1944
1 1 2 10 4 1 2 1 1944
1 1 2 10 5 0 1 1 1944
1 1 2 11 -5 0 2 2 1944
1 1 2 11 -4 0 1 1 1944
1 1 2 11 -3 0 2 2 1944
1 1 2 11 -2 3 8 5 1944
1 1 2 11 -1 4 11 7 1944
1 1 2 11 0 15 30 15 1944
1 1 2 11 1 8 10 2 1944
1 1 2 11 2 7 10 3 1944
1 1 2 11 3 2 2 0 1944
1 1 2 11 4 1 1 0 1944
1 1 2 11 5 0 1 1 1944
1 1 2 100 -3 1 1 0 1944
1 1 2 100 -2 1 1 0 1944
1 1 2 100 -1 0 1 1 1944
1 1 2 100 0 13 16 3 1944
1 1 2 100 1 3 6 3 1944
1 1 2 100 2 2 2 0 1944
1 1 2 100 3 1 1 0 1944
1 1 2 100 4 1 1 0 1944
1 1 2 100 5 1 1 0 1944
1 1 2 101 -3 0 2 2 1944
1 1 2 101 -2 0 1 1 1944
1 1 2 101 0 13 16 3 1944
1 1 2 101 1 4 5 1 1944
1 1 2 101 2 0 1 1 1944
1 1 2 101 3 1 2 1 1944
1 1 2 101 4 1 1 0 1944
1 1 2 110 -2 2 3 1 1944
1 1 2 110 -1 1 1 0 1944
1 1 2 110 0 3 8 5 1944
1 1 2 110 1 3 4 1 1944
1 1 2 110 2 3 5 2 1944
1 1 2 110 3 1 1 0 1944
