INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -5 1 2 1 2006
1 0 0 0 -4 1 4 3 2006
1 0 0 0 -3 1 13 12 2006
1 0 0 0 -2 3 15 12 2006
1 0 0 0 -1 16 56 40 2006
1 0 0 0 0 1113 2429 1316 2006
1 0 0 1 -4 0 1 1 2006
1 0 0 1 -3 0 5 5 2006
1 0 0 1 -2 3 9 6 2006
1 0 0 1 -1 9 33 24 2006
1 0 0 1 0 241 602 361 2006
1 0 0 10 -5 0 1 1 2006
1 0 0 10 -4 0 2 2 2006
1 0 0 10 -3 0 3 3 2006
1 0 0 10 -2 1 5 4 2006
1 0 0 10 -1 6 30 24 2006
1 0 0 10 0 88 217 129 2006
1 0 0 11 -4 1 2 1 2006
1 0 0 11 -3 1 4 3 2006
1 0 0 11 -2 1 8 7 2006
1 0 0 11 -1 2 24 22 2006
1 0 0 11 0 55 145 90 2006
1 0 0 100 -2 0 3 3 2006
1 0 0 100 -1 0 4 4 2006
1 0 0 100 0 12 30 18 2006
1 0 0 101 -3 1 1 0 2006
1 0 0 101 -2 1 2 1 2006
1 0 0 101 -1 3 18 15 2006
1 0 0 101 0 15 46 31 2006
1 0 0 110 -5 0 1 1 2006
1 0 0 110 -3 0 2 2 2006
1 0 0 110 -2 2 5 3 2006
1 0 0 110 -1 2 5 3 2006
1 0 0 110 0 10 27 17 2006
1 0 0 111 -3 0 2 2 2006
1 0 0 111 -2 1 4 3 2006
1 0 0 111 -1 3 13 10 2006
1 0 0 111 0 12 28 16 2006
1 0 1 0 -7 0 1 1 2006
1 0 1 0 -6 0 2 2 2006
1 0 1 0 -5 1 4 3 2006
1 0 1 0 -4 2 12 10 2006
1 0 1 0 -3 4 23 19 2006
1 0 1 0 -2 16 56 40 2006
1 0 1 0 -1 36 97 61 2006
1 0 1 0 0 816 1654 838 2006
1 0 1 1 -6 0 1 1 2006
1 0 1 1 -5 0 4 4 2006
1 0 1 1 -4 1 5 4 2006
1 0 1 1 -3 2 9 7 2006
1 0 1 1 -2 6 26 20 2006
1 0 1 1 -1 26 77 51 2006
1 0 1 1 0 266 587 321 2006
1 0 1 10 -5 1 2 1 2006
1 0 1 10 -4 1 2 1 2006
1 0 1 10 -3 2 6 4 2006
1 0 1 10 -2 3 13 10 2006
1 0 1 10 -1 10 42 32 2006
1 0 1 10 0 111 266 155 2006
1 0 1 11 -5 0 1 1 2006
1 0 1 11 -4 1 3 2 2006
1 0 1 11 -3 2 10 8 2006
1 0 1 11 -2 4 19 15 2006
1 0 1 11 -1 16 56 40 2006
1 0 1 11 0 83 177 94 2006
1 0 1 100 -8 0 1 1 2006
1 0 1 100 -5 0 1 1 2006
1 0 1 100 -4 0 2 2 2006
1 0 1 100 -3 0 1 1 2006
1 0 1 100 -2 0 4 4 2006
1 0 1 100 -1 7 25 18 2006
1 0 1 100 0 46 97 51 2006
1 0 1 101 -4 2 3 1 2006
