INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -4 0 1 1 1968
1 0 0 0 -3 1 3 2 1968
1 0 0 0 -2 2 8 6 1968
1 0 0 0 -1 2 14 12 1968
1 0 0 0 0 675 1603 928 1968
1 0 0 1 -3 1 5 4 1968
1 0 0 1 -2 0 4 4 1968
1 0 0 1 -1 3 16 13 1968
1 0 0 1 0 152 389 237 1968
1 0 0 10 -3 0 1 1 1968
1 0 0 10 -2 0 3 3 1968
1 0 0 10 -1 1 10 9 1968
1 0 0 10 0 51 130 79 1968
1 0 0 11 -3 0 2 2 1968
1 0 0 11 -2 1 2 1 1968
1 0 0 11 -1 2 6 4 1968
1 0 0 11 0 19 67 48 1968
1 0 0 100 -5 0 1 1 1968
1 0 0 100 -2 0 5 5 1968
1 0 0 100 -1 2 3 1 1968
1 0 0 100 0 12 28 16 1968
1 0 0 101 -4 0 1 1 1968
1 0 0 101 -2 0 2 2 1968
1 0 0 101 -1 1 7 6 1968
1 0 0 101 0 14 38 24 1968
1 0 0 110 -4 0 1 1 1968
1 0 0 110 -3 0 1 1 1968
1 0 0 110 -1 3 5 2 1968
1 0 0 110 0 9 19 10 1968
1 0 0 111 -1 4 6 2 1968
1 0 0 111 0 8 16 8 1968
1 0 1 0 -4 0 3 3 1968
1 0 1 0 -3 2 9 7 1968
1 0 1 0 -2 4 25 21 1968
1 0 1 0 -1 5 23 18 1968
1 0 1 0 0 506 1157 651 1968
1 0 1 1 -5 0 1 1 1968
1 0 1 1 -4 0 3 3 1968
1 0 1 1 -3 1 5 4 1968
1 0 1 1 -2 1 16 15 1968
1 0 1 1 -1 8 32 24 1968
1 0 1 1 0 158 392 234 1968
1 0 1 10 -4 0 4 4 1968
1 0 1 10 -3 0 2 2 1968
1 0 1 10 -2 0 6 6 1968
1 0 1 10 -1 7 23 16 1968
1 0 1 10 0 61 159 98 1968
1 0 1 11 -4 1 3 2 1968
1 0 1 11 -3 1 3 2 1968
1 0 1 11 -2 3 8 5 1968
1 0 1 11 -1 7 24 17 1968
1 0 1 11 0 26 86 60 1968
1 0 1 100 -4 0 1 1 1968
1 0 1 100 -2 1 6 5 1968
1 0 1 100 -1 4 12 8 1968
1 0 1 100 0 26 65 39 1968
1 0 1 101 -3 1 1 0 1968
1 0 1 101 -2 0 1 1 1968
1 0 1 101 -1 4 18 14 1968
1 0 1 101 0 21 63 42 1968
1 0 1 110 -4 0 1 1 1968
1 0 1 110 -2 1 8 7 1968
1 0 1 110 -1 3 14 11 1968
1 0 1 110 0 19 41 22 1968
1 0 1 111 -4 0 1 1 1968
1 0 1 111 -3 0 2 2 1968
1 0 1 111 -2 1 4 3 1968
1 0 1 111 -1 6 15 9 1968
1 0 1 111 0 6 25 19 1968
1 0 2 0 -4 0 7 7 1968
1 0 2 0 -3 4 19 15 1968
1 0 2 0 -2 7 30 23 1968
1 0 2 0 -1 17 64 47 1968
1 0 2 0 0 405 889 484 1968
1 0 2 1 -5 0 3 3 1968
1 0 2 1 -4 0 6 6 1968
1 0 2 1 -3 1 12 11 1968
1 0 2 1 -2 5 26 21 1968
1 0 2 1 -1 11 60 49 1968
1 0 2 1 0 177 395 218 1968
1 0 2 10 -5 0 1 1 1968
1 0 2 10 -4 0 5 5 1968
1 0 2 10 -3 1 5 4 1968
1 0 2 10 -2 1 16 15 1968
1 0 2 10 -1 12 44 32 1968
1 0 2 10 0 84 191 107 1968
1 0 2 11 -6 0 2 2 1968
1 0 2 11 -5 0 2 2 1968
1 0 2 11 -4 1 4 3 1968
1 0 2 11 -3 1 3 2 1968
1 0 2 11 -2 2 10 8 1968
1 0 2 11 -1 9 38 29 1968
1 0 2 11 0 56 123 67 1968
1 0 2 100 -4 0 3 3 1968
1 0 2 100 -3 0 3 3 1968
1 0 2 100 -2 3 11 8 1968
1 0 2 100 -1 8 21 13 1968
1 0 2 100 0 30 71 41 1968
1 0 2 101 -5 0 1 1 1968
1 0 2 101 -4 0 1 1 1968
1 0 2 101 -3 0 3 3 1968
1 0 2 101 -2 1 8 7 1968
1 0 2 101 -1 5 20 15 1968
1 0 2 101 0 18 52 34 1968
1 0 2 110 -4 0 1 1 1968
1 0 2 110 -3 0 2 2 1968
1 0 2 110 -2 0 5 5 1968
1 0 2 110 -1 5 14 9 1968
1 0 2 110 0 18 37 19 1968
1 0 2 111 -3 0 3 3 1968
1 0 2 111 -2 1 6 5 1968
1 0 2 111 -1 4 15 11 1968
1 0 2 111 0 7 33 26 1968
1 1 0 0 -6 0 2 2 1968
1 1 0 0 -5 0 3 3 1968
1 1 0 0 -4 1 18 17 1968
1 1 0 0 -3 8 40 32 1968
1 1 0 0 -2 17 85 68 1968
1 1 0 0 -1 62 211 149 1968
1 1 0 0 0 590 1249 659 1968
