INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -3 0 1 1 1940
1 0 0 0 -2 1 3 2 1940
1 0 0 0 -1 0 3 3 1940
1 0 0 0 0 195 460 265 1940
1 0 0 1 -5 0 1 1 1940
1 0 0 1 -2 0 3 3 1940
1 0 0 1 -1 0 4 4 1940
1 0 0 1 0 58 138 80 1940
1 0 0 10 -5 0 1 1 1940
1 0 0 10 -2 0 1 1 1940
1 0 0 10 -1 2 5 3 1940
1 0 0 10 0 8 29 21 1940
1 0 0 11 -5 0 1 1 1940
1 0 0 11 -2 0 1 1 1940
1 0 0 11 -1 1 6 5 1940
1 0 0 11 0 9 25 16 1940
1 0 0 100 -4 0 2 2 1940
1 0 0 100 -1 0 1 1 1940
1 0 0 100 0 0 4 4 1940
1 0 0 101 -2 0 3 3 1940
1 0 0 101 -1 1 4 3 1940
1 0 0 101 0 3 16 13 1940
1 0 0 110 -2 0 1 1 1940
1 0 0 110 -1 1 2 1 1940
1 0 0 110 0 2 6 4 1940
1 0 0 111 -2 0 1 1 1940
1 0 0 111 -1 1 7 6 1940
1 0 0 111 0 3 8 5 1940
1 0 1 0 -4 0 2 2 1940
1 0 1 0 -3 2 5 3 1940
1 0 1 0 -2 3 4 1 1940
1 0 1 0 -1 4 9 5 1940
1 0 1 0 0 134 302 168 1940
1 0 1 1 -4 0 2 2 1940
1 0 1 1 -3 0 3 3 1940
1 0 1 1 -2 4 8 4 1940
1 0 1 1 -1 6 13 7 1940
1 0 1 1 0 56 123 67 1940
1 0 1 10 -3 0 2 2 1940
1 0 1 10 -2 0 2 2 1940
1 0 1 10 -1 3 9 6 1940
1 0 1 10 0 19 45 26 1940
1 0 1 11 -5 0 1 1 1940
1 0 1 11 -4 0 1 1 1940
1 0 1 11 -3 0 3 3 1940
1 0 1 11 -2 2 5 3 1940
1 0 1 11 -1 5 9 4 1940
1 0 1 11 0 12 29 17 1940
1 0 1 100 -5 0 1 1 1940
1 0 1 100 -4 1 1 0 1940
1 0 1 100 -2 0 2 2 1940
1 0 1 100 -1 3 6 3 1940
1 0 1 100 0 5 16 11 1940
1 0 1 101 -4 0 2 2 1940
