INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS year
1 0 0 0 -4 0 2 2 1939
1 0 0 0 -3 1 1 0 1939
1 0 0 0 -2 1 5 4 1939
1 0 0 0 -1 3 8 5 1939
1 0 0 0 0 282 623 341 1939
1 0 0 1 -4 0 1 1 1939
1 0 0 1 -2 1 5 4 1939
1 0 0 1 -1 3 9 6 1939
1 0 0 1 0 63 172 109 1939
1 0 0 10 -4 0 1 1 1939
1 0 0 10 -2 1 3 2 1939
1 0 0 10 -1 2 4 2 1939
1 0 0 10 0 11 31 20 1939
1 0 0 11 -2 1 3 2 1939
1 0 0 11 -1 1 6 5 1939
1 0 0 11 0 7 28 21 1939
1 0 0 100 -3 0 1 1 1939
1 0 0 100 -2 0 2 2 1939
1 0 0 100 -1 2 4 2 1939
1 0 0 100 0 6 11 5 1939
1 0 0 101 -6 0 1 1 1939
1 0 0 101 -2 0 1 1 1939
1 0 0 101 -1 1 4 3 1939
1 0 0 101 0 5 18 13 1939
1 0 0 110 -3 0 1 1 1939
1 0 0 110 -2 1 1 0 1939
1 0 0 110 -1 0 2 2 1939
1 0 0 110 0 2 10 8 1939
1 0 0 111 -4 0 1 1 1939
1 0 0 111 -3 0 1 1 1939
1 0 0 111 -2 1 2 1 1939
1 0 0 111 -1 1 1 0 1939
1 0 0 111 0 2 5 3 1939
1 0 1 0 -5 0 1 1 1939
1 0 1 0 -4 0 1 1 1939
1 0 1 0 -3 2 4 2 1939
1 0 1 0 -2 3 11 8 1939
1 0 1 0 -1 3 12 9 1939
1 0 1 0 0 204 414 210 1939
1 0 1 1 -5 0 1 1 1939
1 0 1 1 -4 0 3 3 1939
1 0 1 1 -3 0 3 3 1939
1 0 1 1 -2 2 10 8 1939
1 0 1 1 -1 9 23 14 1939
1 0 1 1 0 79 190 111 1939
1 0 1 10 -7 0 1 1 1939
1 0 1 10 -6 0 1 1 1939
1 0 1 10 -3 0 4 4 1939
1 0 1 10 -2 3 8 5 1939
1 0 1 10 -1 1 6 5 1939
1 0 1 10 0 25 59 34 1939
1 0 1 11 -4 0 2 2 1939
1 0 1 11 -3 0 1 1 1939
1 0 1 11 -2 1 6 5 1939
1 0 1 11 -1 3 12 9 1939
1 0 1 11 0 21 56 35 1939
1 0 1 100 -5 0 1 1 1939
1 0 1 100 -4 0 2 2 1939
1 0 1 100 -2 1 3 2 1939
1 0 1 100 -1 4 9 5 1939
1 0 1 100 0 11 21 10 1939
1 0 1 101 -6 0 1 1 1939
1 0 1 101 -4 0 1 1 1939
1 0 1 101 -3 0 2 2 1939
1 0 1 101 -2 1 4 3 1939
1 0 1 101 -1 6 11 5 1939
1 0 1 101 0 7 24 17 1939
1 0 1 110 -2 1 2 1 1939
1 0 1 110 -1 1 4 3 1939
1 0 1 110 0 6 18 12 1939
1 0 1 111 -2 2 6 4 1939
1 0 1 111 -1 2 9 7 1939
1 0 1 111 0 3 17 14 1939
1 0 2 0 -5 1 4 3 1939
1 0 2 0 -4 0 1 1 1939
1 0 2 0 -3 4 8 4 1939
1 0 2 0 -2 6 16 10 1939
1 0 2 0 -1 9 23 14 1939
1 0 2 0 0 158 293 135 1939
1 0 2 1 -7 0 1 1 1939
1 0 2 1 -6 0 1 1 1939
1 0 2 1 -5 1 3 2 1939
1 0 2 1 -4 0 2 2 1939
1 0 2 1 -3 2 10 8 1939
1 0 2 1 -2 4 15 11 1939
1 0 2 1 -1 12 34 22 1939
1 0 2 1 0 81 165 84 1939
1 0 2 10 -7 0 1 1 1939
1 0 2 10 -6 0 1 1 1939
1 0 2 10 -5 0 1 1 1939
1 0 2 10 -4 0 2 2 1939
1 0 2 10 -3 0 5 5 1939
1 0 2 10 -2 3 14 11 1939
1 0 2 10 -1 8 16 8 1939
1 0 2 10 0 23 60 37 1939
1 0 2 11 -4 0 1 1 1939
1 0 2 11 -3 0 5 5 1939
1 0 2 11 -2 2 14 12 1939
1 0 2 11 -1 5 14 9 1939
1 0 2 11 0 26 66 40 1939
1 0 2 100 -5 0 1 1 1939
1 0 2 100 -4 0 1 1 1939
1 0 2 100 -3 0 1 1 1939
1 0 2 100 -2 4 10 6 1939
1 0 2 100 -1 2 8 6 1939
1 0 2 100 0 11 15 4 1939
1 0 2 101 -7 0 1 1 1939
1 0 2 101 -3 1 2 1 1939
1 0 2 101 -2 1 2 1 1939
1 0 2 101 -1 3 8 5 1939
1 0 2 101 0 9 23 14 1939
1 0 2 110 -3 0 1 1 1939
1 0 2 110 -2 1 1 0 1939
1 0 2 110 -1 2 12 10 1939
1 0 2 110 0 2 19 17 1939
1 0 2 111 -3 0 3 3 1939
1 0 2 111 -1 4 13 9 1939
1 0 2 111 0 6 16 10 1939
1 1 0 0 -7 0 2 2 1939
1 1 0 0 -6 0 1 1 1939
1 1 0 0 -5 1 6 5 1939
1 1 0 0 -4 0 7 7 1939
1 1 0 0 -3 6 24 18 1939
1 1 0 0 -2 17 53 36 1939
1 1 0 0 -1 39 100 61 1939
1 1 0 0 0 220 433 213 1939
1 1 0 0 1 4 4 0 1939
1 1 0 0 2 1 1 0 1939
1 1 0 0 3 1 1 0 1939
1 1 0 1 -5 1 4 3 1939
1 1 0 1 -4 0 2 2 1939
1 1 0 1 -3 2 4 2 1939
1 1 0 1 -2 7 18 11 1939
1 1 0 1 -1 14 25 11 1939
1 1 0 1 0 65 124 59 1939
1 1 0 1 1 4 5 1 1939
1 1 0 1 2 1 2 1 1939
1 1 0 1 3 2 2 0 1939
1 1 0 10 -3 0 1 1 1939
1 1 0 10 -2 2 2 0 1939
1 1 0 10 -1 3 8 5 1939
1 1 0 10 0 14 23 9 1939
1 1 0 10 1 2 2 0 1939
1 1 0 10 2 1 1 0 1939
1 1 0 10 3 1 1 0 1939
1 1 0 10 4 0 1 1 1939
1 1 0 11 -5 0 2 2 1939
1 1 0 11 -3 0 1 1 1939
1 1 0 11 -2 4 6 2 1939
1 1 0 11 -1 1 3 2 1939
1 1 0 11 0 13 21 8 1939
1 1 0 11 1 4 4 0 1939
1 1 0 11 2 1 2 1 1939
1 1 0 11 3 2 2 0 1939
1 1 0 11 4 1 1 0 1939
1 1 0 100 -1 0 2 2 1939
1 1 0 100 0 8 12 4 1939
1 1 0 100 1 2 2 0 1939
1 1 0 100 2 2 2 0 1939
1 1 0 100 3 0 1 1 1939
1 1 0 101 -3 1 1 0 1939
1 1 0 101 -2 1 2 1 1939
1 1 0 101 -1 3 4 1 1939
1 1 0 101 0 11 18 7 1939
1 1 0 101 1 2 3 1 1939
1 1 0 101 2 1 1 0 1939
1 1 0 101 3 3 3 0 1939
1 1 0 110 -2 1 1 0 1939
1 1 0 110 -1 1 1 0 1939
1 1 0 110 0 4 5 1 1939
1 1 0 110 1 2 3 1 1939
1 1 0 110 2 0 1 1 1939
1 1 0 111 -2 1 1 0 1939
1 1 0 111 -1 0 1 1 1939
1 1 0 111 0 3 6 3 1939
1 1 0 111 1 3 3 0 1939
1 1 0 111 2 1 1 0 1939
1 1 0 111 3 1 1 0 1939
1 1 1 0 -7 0 2 2 1939
1 1 1 0 -6 0 1 1 1939
1 1 1 0 -5 0 2 2 1939
1 1 1 0 -4 0 5 5 1939
1 1 1 0 -3 4 19 15 1939
1 1 1 0 -2 8 33 25 1939
1 1 1 0 -1 23 67 44 1939
1 1 1 0 0 139 283 144 1939
1 1 1 0 1 5 6 1 1939
1 1 1 0 2 4 6 2 1939
1 1 1 0 3 1 2 1 1939
1 1 1 0 4 1 1 0 1939
1 1 1 1 -5 1 2 1 1939
1 1 1 1 -4 0 2 2 1939
1 1 1 1 -3 1 5 4 1939
1 1 1 1 -2 7 15 8 1939
1 1 1 1 -1 13 29 16 1939
1 1 1 1 0 64 123 59 1939
1 1 1 1 1 11 16 5 1939
1 1 1 1 2 4 4 0 1939
1 1 1 1 3 4 4 0 1939
1 1 1 1 4 1 1 0 1939
1 1 1 10 -5 1 1 0 1939
1 1 1 10 -3 1 1 0 1939
1 1 1 10 -2 2 2 0 1939
1 1 1 10 -1 3 10 7 1939
1 1 1 10 0 30 54 24 1939
1 1 1 10 1 7 10 3 1939
1 1 1 10 2 5 5 0 1939
1 1 1 10 3 1 1 0 1939
1 1 1 10 4 0 1 1 1939
1 1 1 11 -3 0 3 3 1939
1 1 1 11 -2 3 5 2 1939
1 1 1 11 -1 7 14 7 1939
1 1 1 11 0 23 39 16 1939
1 1 1 11 1 7 11 4 1939
1 1 1 11 2 2 3 1 1939
1 1 1 11 3 2 2 0 1939
1 1 1 11 5 2 2 0 1939
1 1 1 100 -4 0 1 1 1939
1 1 1 100 -1 1 3 2 1939
1 1 1 100 0 11 18 7 1939
1 1 1 100 1 5 5 0 1939
1 1 1 100 2 0 1 1 1939
1 1 1 101 -5 0 1 1 1939
1 1 1 101 -2 2 3 1 1939
1 1 1 101 -1 4 7 3 1939
1 1 1 101 0 10 22 12 1939
1 1 1 101 1 3 5 2 1939
1 1 1 101 2 3 3 0 1939
1 1 1 101 3 2 3 1 1939
1 1 1 101 4 1 1 0 1939
1 1 1 101 5 2 2 0 1939
1 1 1 110 -4 0 1 1 1939
1 1 1 110 -3 0 1 1 1939
1 1 1 110 -2 4 4 0 1939
1 1 1 110 0 10 14 4 1939
1 1 1 110 1 5 8 3 1939
1 1 1 110 2 1 2 1 1939
1 1 1 110 4 2 2 0 1939
1 1 1 110 5 1 1 0 1939
1 1 1 111 -2 1 1 0 1939
1 1 1 111 0 7 10 3 1939
1 1 1 111 1 4 6 2 1939
1 1 1 111 2 1 2 1 1939
1 1 1 111 3 3 3 0 1939
1 1 2 0 -7 0 2 2 1939
1 1 2 0 -6 0 1 1 1939
1 1 2 0 -5 0 2 2 1939
1 1 2 0 -4 0 4 4 1939
1 1 2 0 -3 3 17 14 1939
1 1 2 0 -2 6 31 25 1939
1 1 2 0 -1 15 50 35 1939
1 1 2 0 0 95 206 111 1939
1 1 2 0 1 12 16 4 1939
1 1 2 0 2 10 14 4 1939
1 1 2 0 3 5 7 2 1939
1 1 2 0 4 4 4 0 1939
1 1 2 1 -6 0 1 1 1939
1 1 2 1 -4 0 2 2 1939
1 1 2 1 -3 1 6 5 1939
1 1 2 1 -2 5 18 13 1939
1 1 2 1 -1 7 24 17 1939
1 1 2 1 0 54 116 62 1939
1 1 2 1 1 21 31 10 1939
1 1 2 1 2 12 16 4 1939
1 1 2 1 3 9 11 2 1939
1 1 2 1 4 5 5 0 1939
1 1 2 1 5 1 1 0 1939
1 1 2 1 8 1 1 0 1939
1 1 2 10 -7 0 1 1 1939
1 1 2 10 -5 1 1 0 1939
1 1 2 10 -3 0 3 3 1939
1 1 2 10 -2 0 1 1 1939
1 1 2 10 -1 4 9 5 1939
1 1 2 10 0 29 48 19 1939
1 1 2 10 1 11 21 10 1939
1 1 2 10 2 9 10 1 1939
1 1 2 10 3 3 3 0 1939
1 1 2 10 4 1 3 2 1939
1 1 2 10 6 2 2 0 1939
1 1 2 11 -4 0 1 1 1939
1 1 2 11 -3 0 2 2 1939
1 1 2 11 -2 3 4 1 1939
1 1 2 11 -1 3 8 5 1939
1 1 2 11 0 22 41 19 1939
1 1 2 11 1 18 24 6 1939
1 1 2 11 2 5 6 1 1939
1 1 2 11 3 4 4 0 1939
1 1 2 11 4 2 2 0 1939
1 1 2 11 5 1 1 0 1939
1 1 2 11 6 1 1 0 1939
1 1 2 100 -5 0 1 1 1939
1 1 2 100 -3 1 2 1 1939
1 1 2 100 -2 3 4 1 1939
1 1 2 100 -1 3 6 3 1939
1 1 2 100 0 9 18 9 1939
1 1 2 100 1 6 9 3 1939
1 1 2 100 2 1 2 1 1939
1 1 2 100 4 1 1 0 1939
1 1 2 100 5 1 1 0 1939
1 1 2 100 7 1 1 0 1939
1 1 2 101 -3 0 1 1 1939
1 1 2 101 -2 2 5 3 1939
1 1 2 101 -1 2 6 4 1939
1 1 2 101 0 9 19 10 1939
1 1 2 101 1 6 9 3 1939
1 1 2 101 2 1 2 1 1939
1 1 2 101 3 1 1 0 1939
1 1 2 101 4 1 1 0 1939
1 1 2 101 5 1 1 0 1939
1 1 2 110 -3 0 1 1 1939
1 1 2 110 -2 3 5 2 1939
1 1 2 110 -1 1 2 1 1939
1 1 2 110 0 10 15 5 1939
1 1 2 110 1 6 8 2 1939
1 1 2 110 2 3 3 0 1939
1 1 2 110 3 1 1 0 1939
1 1 2 111 -2 2 4 2 1939
1 1 2 111 0 12 16 4 1939
1 1 2 111 1 9 10 1 1939
1 1 2 111 2 5 6 1 1939
1 1 2 111 3 5 5 0 1939
1 1 2 111 4 2 2 0 1939
2 0 0 0 -7 0 1 1 1939
2 0 0 0 -6 0 2 2 1939
2 0 0 0 -5 1 6 5 1939
2 0 0 0 -4 0 5 5 1939
2 0 0 0 -3 3 20 17 1939
2 0 0 0 -2 8 47 39 1939
2 0 0 0 -1 30 84 54 1939
2 0 0 0 0 144 326 182 1939
2 0 0 0 1 43 74 31 1939
2 0 0 0 2 34 46 12 1939
2 0 0 0 3 13 15 2 1939
2 0 0 0 4 7 9 2 1939
2 0 0 0 5 4 4 0 1939
2 0 0 0 6 3 3 0 1939
2 0 0 0 8 1 1 0 1939
2 0 0 1 -4 0 2 2 1939
2 0 0 1 -3 3 8 5 1939
2 0 0 1 -2 0 5 5 1939
2 0 0 1 -1 6 28 22 1939
2 0 0 1 0 33 82 49 1939
2 0 0 1 1 12 23 11 1939
2 0 0 1 2 4 8 4 1939
2 0 0 1 3 2 2 0 1939
2 0 0 1 4 2 2 0 1939
