INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS
1 1 0 10 3 3 15 12
1 1 0 10 2 18 49 31
1 1 0 10 1 54 117 63
1 1 0 10 0 246 448 202
1 1 0 10 -1 45 67 22
1 1 0 10 -2 27 30 3
1 1 0 10 -3 8 10 2
1 1 0 10 -4 2 3 1
1 1 0 11 7 0 1 1
1 1 0 11 6 0 1 1
1 1 0 11 5 0 3 3
1 1 0 11 4 1 6 5
1 1 0 11 3 2 14 12
1 1 0 11 2 14 32 18
1 1 0 11 1 30 66 36
1 1 0 11 0 170 289 119
1 1 0 11 -1 36 54 18
1 1 0 11 -2 11 17 6
1 1 0 11 -3 4 6 2
1 1 0 11 -4 5 5 0
1 1 0 11 -5 1 1 0
1 1 0 100 5 0 3 3
1 1 0 100 4 0 1 1
1 1 0 100 3 1 6 5
1 1 0 100 2 3 8 5
1 1 0 100 1 8 19 11
1 1 0 100 0 49 85 36
1 1 0 100 -1 11 20 9
1 1 0 100 -2 3 4 1
1 1 0 100 -3 2 3 1
1 1 0 100 -4 1 1 0
1 1 0 101 5 0 1 1
1 1 0 101 4 0 4 4
1 1 0 101 3 2 7 5
1 1 0 101 2 4 19 15
1 1 0 101 1 20 40 20
1 1 0 101 0 83 132 49
1 1 0 101 -1 25 42 17
1 1 0 101 -2 8 9 1
1 1 0 101 -3 6 6 0
1 1 0 101 -4 1 1 0
1 1 0 110 5 0 1 1
1 1 0 110 4 0 1 1
1 1 0 110 3 0 1 1
1 1 0 110 2 1 3 2
1 1 0 110 1 6 13 7
1 1 0 110 0 42 64 22
1 1 0 110 -1 18 23 5
1 1 0 110 -2 9 12 3
1 1 0 110 -4 1 2 1
1 1 0 111 3 0 2 2
1 1 0 111 2 5 9 4
1 1 0 111 1 8 19 11
1 1 0 111 0 40 63 23
1 1 0 111 -1 13 20 7
1 1 0 111 -2 11 12 1
1 1 0 111 -3 4 5 1
1 1 1 0 8 0 2 2
1 1 1 0 7 0 4 4
1 1 1 0 6 1 5 4
1 1 1 0 5 1 26 25
1 1 1 0 4 8 81 73
