TEAM YEAR NUMBER NAME SALARY
baystars 2008 38 桑原謙太朗 1200万円
baystars 2008 41 小山田保裕 1920万円
baystars 2008 42 T.ヒューズ 6000万円
baystars 2008 43 北篤 700万円
baystars 2008 45 吉原道臣 700万円
baystars 2008 46 田中健二朗 720万円
baystars 2008 48 D.ウィリアムス 7500万円
baystars 2008 54 橋本太郎 500万円
baystars 2008 58 阿斗里 500万円
baystars 2008 60 佐藤祥万 480万円
baystars 2008 64 マットホワイト 6000万円
baystars 2008 99 横山道哉 1700万円
baystars 2008 29 新沼慎二 900万円
baystars 2008 49 齋藤俊雄 620万円
baystars 2008 57 鶴岡一成 2100万円
baystars 2008 59 黒羽根利規 480万円
baystars 2008 61 武山真吾 520万円
baystars 2008 62 高森勇気 470万円
baystars 2008 112 杉本昌都 240万円
baystars 2008 3 ジェイジェイ 6000万円
baystars 2008 4 北川利之 890万円
baystars 2008 23 藤田一也 1500万円
baystars 2008 52 石川雄洋 650万円
baystars 2008 53 野中信吾 1600万円
baystars 2008 55 呉本成徳 700万円
baystars 2008 56 斉藤秀光 1000万円
baystars 2008 63 梶谷隆幸 500万円
baystars 2008 0 河野友軌 800万円
baystars 2008 0 小関竜也 1200万円
baystars 2008 2 内川聖一 3000万円
baystars 2008 6 L.ビグビー 6500万円
baystars 2008 9 下窪陽介 1600万円
baystars 2008 31 吉村裕基 5600万円
baystars 2008 33 大西宏明 3100万円
baystars 2008 39 内藤雄太 1000万円
baystars 2008 40 桑原義行 760万円
baystars 2008 44 小池正晃 3000万円
baystars 2008 50 下園辰哉 1000万円
baystars 2008 51 鈴木尚 5500万円
baystars 2008 65 西﨑伸洋 670万円
baystars 2008 67 坂本大空也 460万円
baystars 2008 111 関口雄大 240万円
baystars 2009 18 三浦大輔 30000万円
baystars 2009 7 仁志敏久 10000万円
baystars 2009 25 村田修一 26000万円
baystars 2009 1 金城龍彦 12500万円
baystars 2009 3 D.ジョンソン 11000万円
baystars 2009 10 R.グリン 8100万円
baystars 2009 11 山口俊 1000万円
baystars 2009 12 吉川輝昭 860万円
baystars 2009 13 那須野巧 2300万円
baystars 2009 14 小林太志 2300万円
baystars 2009 15 高宮和也 960万円
