id,team,hit,opponent,year,score_team,score_opponent
ANA201308200,CLE,8,ANA,2012,4,1
ANA201308200,ANA,12,CLE,2012,1,4
ANA201308210,CLE,8,ANA,2012,3,1
ANA201308210,ANA,7,CLE,2012,1,3
ANA201309020,TBA,6,ANA,2012,2,11
ANA201309020,ANA,16,TBA,2012,11,2
ANA201309030,TBA,15,ANA,2012,7,1
ANA201309030,ANA,4,TBA,2012,1,7
ANA201309040,TBA,7,ANA,2012,3,1
ANA201309040,ANA,7,TBA,2012,1,3
ANA201309050,TBA,6,ANA,2012,2,6
ANA201309050,ANA,11,TBA,2012,6,2
ANA201309060,TEX,9,ANA,2012,5,6
ANA201309060,ANA,10,TEX,2012,6,4
ANA201309070,TEX,9,ANA,2012,3,8
ANA201309070,ANA,12,TEX,2012,8,2
ANA201309080,TEX,9,ANA,2012,4,3
ANA201309080,ANA,9,TEX,2012,3,4
ANA201309200,SEA,7,ANA,2012,2,2
ANA201309200,ANA,10,SEA,2012,2,2
ANA201309210,SEA,9,ANA,2012,5,6
ANA201309210,ANA,6,SEA,2012,6,4
ANA201309220,SEA,8,ANA,2012,3,2
ANA201309220,ANA,5,SEA,2012,2,3
ANA201309230,OAK,13,ANA,2012,10,5
ANA201309230,ANA,6,OAK,2012,5,10
ANA201309240,OAK,4,ANA,2012,0,3
ANA201309240,ANA,5,OAK,2012,3,0
ANA201309250,OAK,6,ANA,2012,1,3
ANA201309250,ANA,8,OAK,2012,3,1
ARI201304010,SLN,5,ARI,2012,2,6
ARI201304010,ARI,15,SLN,2012,6,2
ARI201304020,SLN,10,ARI,2012,6,1
ARI201304020,ARI,3,SLN,2012,1,6
ARI201304030,SLN,16,ARI,2012,9,9
ARI201304030,ARI,17,SLN,2012,9,9
ARI201304080,PIT,5,ARI,2012,5,3
ARI201304080,ARI,6,PIT,2012,3,5
ARI201304090,PIT,11,ARI,2012,6,5
ARI201304090,ARI,6,PIT,2012,5,6
ARI201304100,PIT,5,ARI,2012,2,10
ARI201304100,ARI,10,PIT,2012,10,2
ARI201304120,LAN,6,ARI,2012,0,3
ARI201304120,ARI,6,LAN,2012,3,0
ARI201304130,LAN,14,ARI,2012,7,5
ARI201304130,ARI,11,LAN,2012,5,7
ARI201304140,LAN,6,ARI,2012,0,0
ARI201304140,ARI,6,LAN,2012,0,0
ARI201304250,COL,7,ARI,2012,2,3
ARI201304250,ARI,8,COL,2012,3,2
ARI201304260,COL,11,ARI,2012,6,3
ARI201304260,ARI,6,COL,2012,3,6
ARI201304270,COL,9,ARI,2012,2,2
ARI201304270,ARI,9,COL,2012,2,2
ARI201304280,COL,10,ARI,2012,2,4
ARI201304280,ARI,8,COL,2012,4,2
ARI201304290,SFN,10,ARI,2012,6,4
ARI201304290,ARI,7,SFN,2012,4,6
ARI201304300,SFN,6,ARI,2012,2,1
ARI201304300,ARI,4,SFN,2012,1,2
ARI201305010,SFN,10,ARI,2012,9,6
ARI201305010,ARI,15,SFN,2012,6,9
ARI201305090,PHI,6,ARI,2012,1,2
ARI201305090,ARI,7,PHI,2012,2,1
ARI201305100,PHI,7,ARI,2012,2,3
ARI201305100,ARI,4,PHI,2012,3,2
ARI201305110,PHI,9,ARI,2012,3,1
ARI201305110,ARI,9,PHI,2012,1,3
ARI201305120,PHI,15,ARI,2012,4,2
ARI201305120,ARI,7,PHI,2012,2,4
ARI201305130,ATL,13,ARI,2012,10,1
ARI201305130,ARI,10,ATL,2012,1,10
ARI201305140,ATL,4,ARI,2012,0,2
ARI201305140,ARI,8,ATL,2012,2,0
ARI201305150,ATL,10,ARI,2012,3,5
ARI201305150,ARI,10,ATL,2012,5,3
ARI201305240,SDN,8,ARI,2012,2,5
ARI201305240,ARI,8,SDN,2012,5,2
ARI201305250,SDN,12,ARI,2012,10,4
ARI201305250,ARI,12,SDN,2012,4,10
ARI201305260,SDN,9,ARI,2012,5,6
ARI201305260,ARI,11,SDN,2012,6,5
ARI201305271,TEX,9,ARI,2012,3,5
ARI201305271,ARI,12,TEX,2012,5,0
ARI201305272,TEX,8,ARI,2012,4,4
ARI201305272,ARI,9,TEX,2012,4,4
ARI201306070,SFN,8,ARI,2012,1,3
ARI201306070,ARI,5,SFN,2012,3,1
ARI201306080,SFN,15,ARI,2012,10,4
ARI201306080,ARI,8,SFN,2012,5,10
ARI201306090,SFN,12,ARI,2012,6,2
ARI201306090,ARI,6,SFN,2012,2,6
ARI201306170,MIA,3,ARI,2012,3,2
ARI201306170,ARI,7,MIA,2012,2,3
ARI201306180,MIA,8,ARI,2012,2,2
ARI201306180,ARI,5,MIA,2012,2,2
ARI201306190,MIA,5,ARI,2012,1,3
ARI201306190,ARI,4,MIA,2012,3,0
ARI201306210,CIN,9,ARI,2012,5,11
ARI201306210,ARI,15,CIN,2012,11,4
ARI201306220,CIN,4,ARI,2012,3,2
ARI201306220,ARI,6,CIN,2012,2,3
ARI201306230,CIN,8,ARI,2012,4,1
ARI201306230,ARI,8,CIN,2012,2,4
ARI201307050,COL,3,ARI,2012,0,5
ARI201307050,ARI,10,COL,2012,5,0
ARI201307060,COL,6,ARI,2012,1,11
ARI201307060,ARI,12,COL,2012,11,1
ARI201307070,COL,3,ARI,2012,1,6
ARI201307070,ARI,11,COL,2012,6,1
ARI201307080,LAN,17,ARI,2012,6,0
ARI201307080,ARI,4,LAN,2012,1,6
ARI201307090,LAN,10,ARI,2012,6,1
ARI201307090,ARI,5,LAN,2012,1,6
ARI201307100,LAN,15,ARI,2012,7,5
ARI201307100,ARI,9,LAN,2012,5,7
ARI201307110,MIL,9,ARI,2012,3,5
ARI201307110,ARI,5,MIL,2012,5,3
ARI201307120,MIL,8,ARI,2012,1,2
ARI201307120,ARI,4,MIL,2012,2,1
ARI201307130,MIL,8,ARI,2012,4,5
ARI201307130,ARI,6,MIL,2012,5,4
ARI201307140,MIL,9,ARI,2012,5,1
ARI201307140,ARI,8,MIL,2012,1,5
ARI201307220,CHN,11,ARI,2012,4,2
ARI201307220,ARI,6,CHN,2012,2,4
ARI201307230,CHN,7,ARI,2012,4,10
ARI201307230,ARI,14,CHN,2012,10,3
ARI201307240,CHN,11,ARI,2012,7,6
ARI201307240,ARI,12,CHN,2012,6,7
ARI201307250,CHN,6,ARI,2012,1,3
ARI201307250,ARI,7,CHN,2012,3,1
ARI201307260,SDN,3,ARI,2012,0,10
ARI201307260,ARI,17,SDN,2012,10,0
ARI201307270,SDN,9,ARI,2012,12,3
ARI201307270,ARI,6,SDN,2012,3,12
ARI201307280,SDN,7,ARI,2012,1,0
ARI201307280,ARI,3,SDN,2012,0,1
ARI201308060,TBA,7,ARI,2012,1,6
ARI201308060,ARI,8,TBA,2012,6,1
ARI201308070,TBA,16,ARI,2012,8,9
ARI201308070,ARI,12,TBA,2012,9,8
ARI201308090,NYN,8,ARI,2012,4,4
ARI201308090,ARI,10,NYN,2012,4,4
ARI201308100,NYN,9,ARI,2012,4,1
ARI201308100,ARI,11,NYN,2012,1,4
ARI201308110,NYN,11,ARI,2012,9,5
ARI201308110,ARI,11,NYN,2012,5,9
ARI201308120,BAL,10,ARI,2012,6,6
ARI201308120,ARI,9,BAL,2012,6,6
ARI201308130,BAL,6,ARI,2012,3,3
ARI201308130,ARI,9,BAL,2012,3,3
ARI201308140,BAL,14,ARI,2012,4,4
ARI201308140,ARI,11,BAL,2012,4,4
ARI201308260,SDN,5,ARI,2012,1,6
ARI201308260,ARI,8,SDN,2012,6,1
ARI201308270,SDN,14,ARI,2012,9,9
ARI201308270,ARI,12,SDN,2012,9,9
ARI201308280,SDN,11,ARI,2012,5,1
ARI201308280,ARI,10,SDN,2012,1,5
ARI201308300,SFN,3,ARI,2012,1,0
ARI201308300,ARI,7,SFN,2012,0,1
ARI201308310,SFN,11,ARI,2012,3,3
ARI201308310,ARI,12,SFN,2012,3,3
ARI201309010,SFN,15,ARI,2012,8,2
ARI201309010,ARI,9,SFN,2012,2,8
ARI201309020,TOR,5,ARI,2012,4,0
ARI201309020,ARI,4,TOR,2012,1,4
ARI201309030,TOR,15,ARI,2012,10,4
ARI201309030,ARI,7,TOR,2012,4,10
ARI201309040,TOR,5,ARI,2012,3,3
ARI201309040,ARI,9,TOR,2012,3,3
ARI201309130,COL,16,ARI,2012,7,2
ARI201309130,ARI,12,COL,2012,5,7
ARI201309140,COL,7,ARI,2012,2,9
