GAME_ID%0,HOME,AWAY
SDN201304110,2,3
SDN201304120,5,7
SDN201304130,5,9
SDN201304140,1,2
SDN201304220,1,7
SDN201304230,3,6
SDN201304240,2,1
SDN201304260,2,1
SDN201304270,7,7
SDN201304280,6,4
SEA201304080,3,0
SEA201304090,9,16
SEA201304100,3,8
SEA201304110,3,4
SEA201304120,3,1
SEA201304130,1,3
SEA201304140,4,3
SEA201304160,2,6
SEA201304170,1,2
SEA201304180,2,0
SEA201304250,6,0
SEA201304260,3,6
SEA201304270,3,2
SEA201304280,2,1
SEA201304290,6,2
SEA201304300,2,7
SFN201304050,1,0
SFN201304060,3,6
SFN201304070,3,14
SFN201304080,4,2
SFN201304090,9,6
SFN201304100,10,0
SFN201304190,2,2
SFN201304200,2,0
SFN201304210,5,0
SFN201304220,4,4
SFN201304230,4,6
SFN201304240,2,3
SLN201304080,4,13
SLN201304090,5,1
SLN201304100,10,0
SLN201304120,2,0
SLN201304130,8,0
SLN201304140,3,4
SLN201304260,9,1
SLN201304270,3,5
SLN201304280,0,9
SLN201304290,1,2
SLN201304300,2,1
TBA201304020,4,7
TBA201304030,7,7
TBA201304040,3,6
TBA201304050,4,0
TBA201304060,6,0
TBA201304070,0,13
TBA201304190,8,3
TBA201304200,1,0
TBA201304210,8,1
TBA201304220,5,1
TBA201304230,3,4
TBA201304240,3,0
TEX201304050,3,2
TEX201304060,4,8
TEX201304070,7,3
TEX201304080,5,4
TEX201304090,6,1
TEX201304100,0,2
TEX201304190,7,0
TEX201304200,5,0
TEX201304210,11,3
TEX201304300,10,6
TOR201304020,1,4
TOR201304030,2,3
TOR201304040,10,8
TOR201304050,4,6
TOR201304060,5,0
TOR201304070,0,13
TOR201304150,4,3
TOR201304160,3,4
TOR201304170,0,7
TOR201304180,3,1
TOR201304190,4,9
TOR201304200,3,5
TOR201304210,8,4
TOR201304300,9,7
WAS201304010,2,0
WAS201304030,3,0
WAS201304040,6,1
WAS201304090,8,7
WAS201304100,5,2
WAS201304110,7,4
WAS201304120,4,6
WAS201304130,1,3
WAS201304140,0,9
WAS201304220,2,3
WAS201304230,0,2
WAS201304240,2,4
WAS201304250,8,1
WAS201304260,1,0
WAS201304270,6,3
WAS201304280,2,5
