team,teamhit,year
PHI,64,2012
SLN,60,2012
ATL,58,2012
MIA,55,2012
KCA,55,2013
TEX,54,2012
OAK,54,2013
CLE,53,2012
TEX,53,2013
CHN,52,2013
SDN,51,2012
PIT,50,2013
ANA,49,2012
LAN,49,2012
ANA,49,2013
SFN,49,2013
WAS,48,2012
SFN,47,2012
ARI,47,2013
PHI,47,2013
SLN,47,2013
KCA,46,2012
ATL,46,2013
MIL,45,2012
MIL,45,2013
MIN,45,2013
CIN,44,2012
HOU,44,2012
CHA,44,2013
DET,44,2013
BOS,43,2012
NYA,43,2012
NYN,43,2012
SEA,43,2012
BAL,43,2013
CHA,42,2012
DET,42,2012
TBA,42,2012
BOS,42,2013
CIN,42,2013
PIT,41,2012
CLE,41,2013
NYN,41,2013
SDN,41,2013
TBA,41,2013
COL,40,2013
LAN,39,2013
TOR,39,2013
BAL,37,2012
CHN,37,2012
HOU,37,2013
MIA,37,2013
WAS,36,2013
OAK,35,2012
ARI,34,2012
NYA,34,2013
TOR,33,2012
COL,30,2012
SEA,30,2013
MIN,24,2012
