away,home,game,year
9,8,6,1927
9,9,2,1927
9,10,1,1927
9,11,4,1927
9,13,1,1927
9,14,1,1927
10,2,3,1927
10,3,1,1927
10,5,3,1927
10,6,5,1927
10,7,3,1927
10,8,3,1927
10,9,2,1927
10,10,4,1927
10,11,3,1927
11,1,2,1927
11,3,3,1927
11,4,3,1927
11,5,2,1927
11,6,3,1927
11,7,1,1927
11,8,2,1927
11,10,2,1927
11,11,2,1927
12,0,1,1927
12,1,2,1927
12,2,2,1927
12,4,1,1927
12,5,2,1927
12,6,2,1927
12,10,1,1927
12,14,1,1927
13,1,1,1927
13,2,1,1927
13,3,1,1927
13,6,2,1927
14,1,1,1927
14,2,1,1927
14,4,1,1927
14,5,1,1927
14,8,1,1927
15,7,1,1927
16,4,1,1927
16,9,1,1927
18,5,1,1927
19,7,1,1927
