id,team,game,teamhit5game,year
ARI201305120,ARI,20,43,2013
ARI201305130,ARI,21,48,2013
ARI201305140,ARI,22,49,2013
ARI201305150,ARI,23,53,2013
ARI201305240,ARI,24,52,2013
ARI201305250,ARI,25,49,2013
ARI201305260,ARI,26,45,2013
ARI201305271,ARI,27,40,2013
ARI201305272,ARI,28,35,2013
ARI201306070,ARI,29,31,2013
ARI201306080,ARI,30,30,2013
ARI201306090,ARI,31,37,2013
ARI201306170,ARI,32,37,2013
ARI201306180,ARI,33,38,2013
ARI201306190,ARI,34,43,2013
ARI201306210,ARI,35,51,2013
ARI201306220,ARI,36,47,2013
ARI201306230,ARI,37,45,2013
ARI201307050,ARI,38,42,2013
ARI201307060,ARI,39,41,2013
ARI201307070,ARI,40,34,2013
ARI201307080,ARI,41,27,2013
ARI201307090,ARI,42,29,2013
ARI201307100,ARI,43,32,2013
ARI201307110,ARI,44,29,2013
ARI201307120,ARI,45,38,2013
ARI201307130,ARI,46,46,2013
ARI201307140,ARI,47,47,2013
ARI201307220,ARI,48,56,2013
ARI201307230,ARI,49,56,2013
ARI201307240,ARI,50,45,2013
ARI201307250,ARI,51,41,2013
ARI201307260,ARI,52,46,2013
ARI201307270,ARI,53,39,2013
ARI201307280,ARI,54,44,2013
ARI201308060,ARI,55,52,2013
ARI201308070,ARI,56,53,2013
ARI201308090,ARI,57,50,2013
ARI201308100,ARI,58,51,2013
ARI201308110,ARI,59,48,2013
ARI201308120,ARI,60,49,2013
ARI201308130,ARI,61,50,2013
ARI201308140,ARI,62,48,2013
ARI201308260,ARI,63,49,2013
ARI201308270,ARI,64,50,2013
ARI201308280,ARI,65,42,2013
ARI201308300,ARI,66,39,2013
ARI201308310,ARI,67,41,2013
ARI201309010,ARI,68,41,2013
ARI201309020,ARI,69,48,2013
ARI201309030,ARI,70,56,2013
ARI201309040,ARI,71,51,2013
ARI201309130,ARI,72,50,2013
ARI201309140,ARI,73,50,2013
ARI201309150,ARI,74,44,2013
ARI201309160,ARI,75,41,2013
ARI201309170,ARI,76,44,2013
ARI201309180,ARI,77,43,2013
ARI201309190,ARI,78,35,2013
ARI201309270,ARI,79,35,2013
ARI201309280,ARI,80,34,2013
ARI201309290,ARI,81,45,2013
ATL201306280,ARI,82,44,2013
ATL201306290,ARI,83,48,2013
ATL201306300,ARI,84,45,2013
BOS201308020,ARI,85,54,2013
BOS201308030,ARI,86,51,2013
BOS201308040,ARI,87,55,2013
CHN201305310,ARI,88,54,2013
CHN201306010,ARI,89,57,2013
CHN201306020,ARI,90,47,2013
CIN201308190,ARI,91,39,2013
CIN201308200,ARI,92,35,2013
CIN201308210,ARI,93,36,2013
CIN201308220,ARI,94,42,2013
COL201304190,ARI,95,40,2013
COL201304200,ARI,96,43,2013
COL201304210,ARI,97,46,2013
COL201305200,ARI,98,52,2013
COL201305210,ARI,99,55,2013
COL201305220,ARI,100,65,2013
COL201309200,ARI,101,68,2013
COL201309210,ARI,102,65,2013
COL201309220,ARI,103,62,2013
LAN201305060,ARI,104,47,2013
LAN201305070,ARI,105,52,2013
LAN201305080,ARI,106,45,2013
LAN201306100,ARI,107,44,2013
LAN201306110,ARI,108,48,2013
LAN201306120,ARI,109,60,2013
LAN201309090,ARI,110,44,2013
LAN201309100,ARI,111,46,2013
LAN201309110,ARI,112,47,2013
MIA201305170,ARI,113,48,2013
MIA201305180,ARI,114,46,2013
MIA201305190,ARI,115,50,2013
MIL201304050,ARI,116,50,2013
MIL201304060,ARI,117,57,2013
MIL201304070,ARI,118,52,2013
NYA201304160,ARI,119,44,2013
NYA201304170,ARI,120,46,2013
NYA201304180,ARI,121,57,2013
NYN201307010,ARI,122,51,2013
NYN201307020,ARI,123,62,2013
NYN201307030,ARI,124,64,2013
NYN201307040,ARI,125,59,2013
PHI201308230,ARI,126,62,2013
PHI201308240,ARI,127,70,2013
PHI201308250,ARI,128,55,2013
PIT201308160,ARI,129,57,2013
PIT201308170,ARI,130,56,2013
PIT201308180,ARI,131,38,2013
SDN201305030,ARI,132,30,2013
SDN201305040,ARI,133,31,2013
SDN201305050,ARI,134,28,2013
SDN201306140,ARI,135,31,2013
SDN201306150,ARI,136,35,2013
SDN201306160,ARI,137,31,2013
SDN201309230,ARI,138,32,2013
SDN201309240,ARI,139,35,2013
SDN201309250,ARI,140,36,2013
SDN201309260,ARI,141,35,2013
SFN201304220,ARI,142,41,2013
SFN201304230,ARI,143,40,2013
SFN201304240,ARI,144,40,2013
SFN201307190,ARI,145,33,2013
SFN201307200,ARI,146,38,2013
SFN201307210,ARI,147,39,2013
SFN201309050,ARI,148,38,2013
SFN201309060,ARI,149,42,2013
SFN201309070,ARI,150,52,2013
SFN201309080,ARI,151,55,2013
SLN201306030,ARI,152,50,2013
SLN201306040,ARI,153,57,2013
SLN201306050,ARI,154,57,2013
SLN201306060,ARI,155,54,2013
TBA201307300,ARI,156,55,2013
TBA201307310,ARI,157,54,2013
TEX201305300,ARI,158,50,2013
ARI201305130,ATL,1,46,2013
ARI201305140,ATL,2,35,2013
ARI201305150,ATL,3,37,2013
ATL201304010,ATL,4,39,2013
ATL201304030,ATL,5,35,2013
ATL201304040,ATL,6,35,2013
ATL201304050,ATL,7,39,2013
ATL201304060,ATL,8,40,2013
ATL201304070,ATL,9,40,2013
ATL201304160,ATL,10,36,2013
ATL201304170,ATL,11,32,2013
ATL201304290,ATL,12,36,2013
ATL201304300,ATL,13,41,2013
ATL201305010,ATL,14,38,2013
ATL201305020,ATL,15,43,2013
ATL201305030,ATL,16,46,2013
ATL201305050,ATL,17,45,2013
ATL201305170,ATL,18,43,2013
ATL201305180,ATL,19,44,2013
ATL201305190,ATL,20,41,2013
ATL201305200,ATL,21,48,2013
ATL201305210,ATL,22,43,2013
ATL201305220,ATL,23,38,2013
ATL201305290,ATL,24,37,2013
ATL201305300,ATL,25,43,2013
ATL201305310,ATL,26,38,2013
ATL201306010,ATL,27,41,2013
ATL201306020,ATL,28,39,2013
ATL201306030,ATL,29,41,2013
ATL201306040,ATL,30,38,2013
ATL201306050,ATL,31,33,2013
ATL201306140,ATL,32,32,2013
ATL201306150,ATL,33,36,2013
ATL201306160,ATL,34,32,2013
ATL201306170,ATL,35,38,2013
ATL201306181,ATL,36,44,2013
ATL201306182,ATL,37,49,2013
ATL201306190,ATL,38,52,2013
ATL201306200,ATL,39,62,2013
ATL201306280,ATL,40,59,2013
ATL201306290,ATL,41,55,2013
ATL201306300,ATL,42,55,2013
ATL201307020,ATL,43,49,2013
ATL201307030,ATL,44,43,2013
ATL201307040,ATL,45,42,2013
ATL201307110,ATL,46,43,2013
ATL201307120,ATL,47,41,2013
ATL201307130,ATL,48,49,2013
ATL201307140,ATL,49,50,2013
ATL201307260,ATL,50,55,2013
ATL201307270,ATL,51,62,2013
ATL201307280,ATL,52,67,2013
ATL201307290,ATL,53,62,2013
ATL201307300,ATL,54,53,2013
ATL201307310,ATL,55,51,2013
ATL201308010,ATL,56,42,2013
ATL201308090,ATL,57,36,2013
ATL201308100,ATL,58,38,2013
ATL201308110,ATL,59,44,2013
ATL201308120,ATL,60,41,2013
ATL201308130,ATL,61,40,2013
ATL201308140,ATL,62,35,2013
ATL201308160,ATL,63,36,2013
ATL201308170,ATL,64,35,2013
ATL201308180,ATL,65,31,2013
ATL201308270,ATL,66,37,2013
ATL201308280,ATL,67,42,2013
ATL201308290,ATL,68,49,2013
ATL201308300,ATL,69,48,2013
ATL201308310,ATL,70,50,2013
ATL201309010,ATL,71,44,2013
ATL201309020,ATL,72,45,2013
ATL201309030,ATL,73,32,2013
ATL201309040,ATL,74,28,2013
ATL201309130,ATL,75,31,2013
ATL201309140,ATL,76,28,2013
ATL201309150,ATL,77,31,2013
ATL201309230,ATL,78,30,2013
ATL201309240,ATL,79,39,2013
ATL201309250,ATL,80,46,2013
ATL201309260,ATL,81,53,2013
ATL201309270,ATL,82,51,2013
ATL201309280,ATL,83,57,2013
ATL201309290,ATL,84,53,2013
CHA201307190,ATL,85,41,2013
CHA201307200,ATL,86,44,2013
CHA201307210,ATL,87,45,2013
CHN201309200,ATL,88,41,2013
CHN201309210,ATL,89,44,2013
CHN201309220,ATL,90,48,2013
CIN201305060,ATL,91,50,2013
CIN201305070,ATL,92,49,2013
CIN201305080,ATL,93,49,2013
COL201304231,ATL,94,45,2013
COL201304232,ATL,95,42,2013
COL201304240,ATL,96,38,2013
DET201304260,ATL,97,36,2013
DET201304270,ATL,98,38,2013
DET201304280,ATL,99,39,2013
KCA201306250,ATL,100,42,2013
KCA201306260,ATL,101,39,2013
LAN201306060,ATL,102,41,2013
LAN201306070,ATL,103,42,2013
LAN201306080,ATL,104,47,2013
LAN201306090,ATL,105,47,2013
MIA201304080,ATL,106,51,2013
MIA201304090,ATL,107,47,2013
MIA201304100,ATL,108,44,2013
MIA201307080,ATL,109,41,2013
MIA201307090,ATL,110,39,2013
MIA201307100,ATL,111,37,2013
MIA201309090,ATL,112,33,2013
MIA201309100,ATL,113,32,2013
MIA201309110,ATL,114,36,2013
MIA201309120,ATL,115,39,2013
MIL201306210,ATL,116,41,2013
MIL201306220,ATL,117,44,2013
MIL201306230,ATL,118,46,2013
NYN201305240,ATL,119,39,2013
NYN201305250,ATL,120,37,2013
NYN201305260,ATL,121,31,2013
NYN201307220,ATL,122,34,2013
NYN201307230,ATL,123,37,2013
NYN201307240,ATL,124,39,2013
NYN201307250,ATL,125,49,2013
NYN201308200,ATL,126,53,2013
NYN201308210,ATL,127,55,2013
PHI201307050,ATL,128,51,2013
PHI201307060,ATL,129,51,2013
PHI201307070,ATL,130,36,2013
PHI201308020,ATL,131,34,2013
PHI201308030,ATL,132,26,2013
PHI201308040,ATL,133,31,2013
PHI201309060,ATL,134,24,2013
PHI201309070,ATL,135,25,2013
PHI201309080,ATL,136,26,2013
PIT201304180,ATL,137,33,2013
PIT201304190,ATL,138,29,2013
PIT201304200,ATL,139,37,2013
PIT201304210,ATL,140,44,2013
SDN201306100,ATL,141,39,2013
SDN201306110,ATL,142,37,2013
SDN201306120,ATL,143,35,2013
SFN201305090,ATL,144,34,2013
SFN201305100,ATL,145,29,2013
SFN201305110,ATL,146,33,2013
SFN201305120,ATL,147,36,2013
SLN201308220,ATL,148,40,2013
SLN201308230,ATL,149,43,2013
SLN201308240,ATL,150,46,2013
SLN201308250,ATL,151,47,2013
TOR201305270,ATL,152,49,2013
TOR201305280,ATL,153,49,2013
WAS201304120,ATL,154,45,2013
WAS201304130,ATL,155,51,2013
WAS201304140,ATL,156,52,2013
WAS201308050,ATL,157,45,2013
WAS201308060,ATL,158,45,2013
ANA201305020,BAL,1,43,2013
ANA201305030,BAL,2,39,2013
ANA201305040,BAL,3,50,2013
ANA201305050,BAL,4,52,2013
ARI201308120,BAL,5,55,2013
ARI201308130,BAL,6,52,2013
ARI201308140,BAL,7,52,2013
BAL201304050,BAL,8,43,2013
BAL201304060,BAL,9,43,2013
BAL201304070,BAL,10,42,2013
BAL201304160,BAL,11,43,2013
BAL201304170,BAL,12,47,2013
BAL201304180,BAL,13,47,2013
BAL201304201,BAL,14,39,2013
BAL201304202,BAL,15,37,2013
BAL201304210,BAL,16,37,2013
BAL201304220,BAL,17,32,2013
BAL201304230,BAL,18,35,2013
BAL201304240,BAL,19,34,2013
BAL201305070,BAL,20,37,2013
BAL201305080,BAL,21,42,2013
BAL201305090,BAL,22,50,2013
BAL201305140,BAL,23,47,2013
BAL201305150,BAL,24,55,2013
BAL201305170,BAL,25,52,2013
BAL201305180,BAL,26,53,2013
BAL201305190,BAL,27,53,2013
